SV;DATETIME;X;Y;Z
E01;2022-2-1 00:00:00;-3639296.823;-18424632.612;22880566.619
E01;2022-2-1 00:00:30;-3591824.55552;-18474480.4419;22847892.7591
E01;2022-2-1 00:01:00;-3544537.99155;-18524368.5;22814902.8904
E01;2022-2-1 00:01:30;-3497437.73182;-18574295.5223;22781597.4699
E01;2022-2-1 00:02:00;-3450524.36991;-18624260.2417;22747976.959
E01;2022-2-1 00:02:30;-3403798.49219;-18674261.3883;22714041.8235
E01;2022-2-1 00:03:00;-3357260.6778;-18724297.6891;22679792.5334
E01;2022-2-1 00:03:30;-3310911.49862;-18774367.8684;22645229.5633
E01;2022-2-1 00:04:00;-3264751.51927;-18824470.6475;22610353.392
E01;2022-2-1 00:04:30;-3218781.29706;-18874604.745;22575164.5027
E01;2022-2-1 00:05:00;-3173001.382;-18924768.877;22539663.383
E01;2022-2-1 00:05:30;-3127412.31674;-18974961.7566;22503850.5246
E01;2022-2-1 00:06:00;-3082014.63659;-19025182.0945;22467726.4237
E01;2022-2-1 00:06:30;-3036808.86947;-19075428.5987;22431291.5808
E01;2022-2-1 00:07:00;-2991795.53593;-19125699.9746;22394546.5005
E01;2022-2-1 00:07:30;-2946975.14909;-19175994.9254;22357491.6919
E01;2022-2-1 00:08:00;-2902348.21464;-19226312.1517;22320127.6684
E01;2022-2-1 00:08:30;-2857915.23085;-19276650.3514;22282454.9475
E01;2022-2-1 00:09:00;-2813676.68852;-19327008.2206;22244474.051
E01;2022-2-1 00:09:30;-2769633.07095;-19377384.4527;22206185.5051
E01;2022-2-1 00:10:00;-2725784.854;-19427777.739;22167589.84
E01;2022-2-1 00:10:30;-2682132.50599;-19478186.7685;22128687.5904
E01;2022-2-1 00:11:00;-2638676.48774;-19528610.2281;22089479.2951
E01;2022-2-1 00:11:30;-2595417.25253;-19579046.8025;22049965.4971
E01;2022-2-1 00:12:00;-2552355.24611;-19629495.1744;22010146.7438
E01;2022-2-1 00:12:30;-2509490.90666;-19679954.0244;21970023.5865
E01;2022-2-1 00:13:00;-2466824.6648;-19730422.0312;21929596.581
E01;2022-2-1 00:13:30;-2424356.94356;-19780897.8713;21888866.2871
E01;2022-2-1 00:14:00;-2382088.1584;-19831380.2197;21847833.269
E01;2022-2-1 00:14:30;-2340018.71713;-19881867.7492;21806498.0948
E01;2022-2-1 00:15:00;-2298149.02;-19932359.131;21764861.337
E01;2022-2-1 00:15:30;-2256479.45959;-19982853.0344;21722923.5722
E01;2022-2-1 00:16:00;-2215010.42085;-20033348.1269;21680685.3811
E01;2022-2-1 00:16:30;-2173742.2811;-20083843.0747;21638147.3487
E01;2022-2-1 00:17:00;-2132675.40998;-20134336.5419;21595310.064
E01;2022-2-1 00:17:30;-2091810.16946;-20184827.1913;21552174.1201
E01;2022-2-1 00:18:00;-2051146.91384;-20235313.6841;21508740.1143
E01;2022-2-1 00:18:30;-2010685.98974;-20285794.6801;21465008.6482
E01;2022-2-1 00:19:00;-1970427.73605;-20336268.8373;21420980.3271
E01;2022-2-1 00:19:30;-1930372.48397;-20386734.8128;21376655.7608
E01;2022-2-1 00:20:00;-1890520.557;-20437191.262;21332035.563
E01;2022-2-1 00:20:30;-1850872.27088;-20487636.839;21287120.3514
E01;2022-2-1 00:21:00;-1811427.93363;-20538070.1969;21241910.748
E01;2022-2-1 00:21:30;-1772187.84554;-20588489.9872;21196407.3787
E01;2022-2-1 00:22:00;-1733152.29913;-20638894.8604;21150610.8735
E01;2022-2-1 00:22:30;-1694321.57917;-20689283.4661;21104521.8664
E01;2022-2-1 00:23:00;-1655695.96266;-20739654.4525;21058140.9957
E01;2022-2-1 00:23:30;-1617275.71883;-20790006.4668;21011468.9033
E01;2022-2-1 00:24:00;-1579061.10914;-20840338.1555;20964506.2354
E01;2022-2-1 00:24:30;-1541052.38724;-20890648.1637;20917253.6423
E01;2022-2-1 00:25:00;-1503249.799;-20940935.136;20869711.778
E01;2022-2-1 00:25:30;-1465653.5825;-20991197.716;20821881.3007
E01;2022-2-1 00:26:00;-1428263.968;-21041434.5464;20773762.8726
E01;2022-2-1 00:26:30;-1391081.17795;-21091644.2694;20725357.1598
E01;2022-2-1 00:27:00;-1354105.42699;-21141825.5262;20676664.8323
E01;2022-2-1 00:27:30;-1317336.92192;-21191976.9576;20627686.5643
E01;2022-2-1 00:28:00;-1280775.86178;-21242097.2035;20578423.0337
E01;2022-2-1 00:28:30;-1244422.43771;-21292184.9034;20528874.9224
E01;2022-2-1 00:29:00;-1208276.83303;-21342238.6964;20479042.9164
E01;2022-2-1 00:29:30;-1172339.22325;-21392257.2209;20428927.7053
E01;2022-2-1 00:30:00;-1136609.776;-21442239.115;20378529.983
E01;2022-2-1 00:30:30;-1101088.6511;-21492183.0163;20327850.447
E01;2022-2-1 00:31:00;-1065776.00049;-21542087.5621;20276889.7988
E01;2022-2-1 00:31:30;-1030671.9683;-21591951.3896;20225648.7438
E01;2022-2-1 00:32:00;-995776.690767;-21641773.1355;20174127.9913
E01;2022-2-1 00:32:30;-961090.296331;-21691551.4363;20122328.2542
E01;2022-2-1 00:33:00;-926612.905475;-21741284.9287;20070250.2498
E01;2022-2-1 00:33:30;-892344.630915;-21790972.2488;20017894.6987
E01;2022-2-1 00:34:00;-858285.577479;-21840612.0331;19965262.3256
E01;2022-2-1 00:34:30;-824435.842138;-21890202.9177;19912353.8589
E01;2022-2-1 00:35:00;-790795.514;-21939743.539;19859170.031
E01;2022-2-1 00:35:30;-757364.674312;-21989232.5334;19805711.5779
E01;2022-2-1 00:36:00;-724143.39646;-22038668.5374;19751979.2395
E01;2022-2-1 00:36:30;-691131.745969;-22088050.1878;19697973.7594
E01;2022-2-1 00:37:00;-658329.780501;-22137376.1214;19643695.8851
E01;2022-2-1 00:37:30;-625737.549862;-22186644.9754;19589146.3678
E01;2022-2-1 00:38:00;-593355.095988;-22235855.3874;19534325.9623
E01;2022-2-1 00:38:30;-561182.452967;-22285005.9953;19479235.4274
E01;2022-2-1 00:39:00;-529219.647024;-22334095.4372;19423875.5256
E01;2022-2-1 00:39:30;-497466.696529;-22383122.3521;19368247.0228
E01;2022-2-1 00:40:00;-465923.612;-22432085.379;19312350.689
E01;2022-2-1 00:40:30;-434590.3961;-22480983.1578;19256187.2977
E01;2022-2-1 00:41:00;-403467.043645;-22529814.329;19199757.6261
E01;2022-2-1 00:41:30;-372553.541604;-22578577.5334;19143062.4552
E01;2022-2-1 00:42:00;-341849.869101;-22627271.4129;19086102.5694
E01;2022-2-1 00:42:30;-311355.997379;-22675894.61;19028878.757
E01;2022-2-1 00:43:00;-281071.889975;-22724445.7677;18971391.81
E01;2022-2-1 00:43:30;-250997.502461;-22772923.5303;18913642.5237
E01;2022-2-1 00:44:00;-221132.782622;-22821326.5426;18855631.6974
E01;2022-2-1 00:44:30;-191477.670421;-22869653.4506;18797360.1337
E01;2022-2-1 00:45:00;-162032.098;-22917902.901;18738828.639
E01;2022-2-1 00:45:30;-132795.989686;-22966073.5418;18680038.0232
