SV;DATETIME;X;Y;Z
E04;2022-6-1 00:00:00;1045672.856;-26718087.568;12705957.797
E04;2022-6-1 00:00:30;1056111.96627;-26681228.5219;12782399.9914
E04;2022-6-1 00:01:00;1066703.22148;-26644174.2435;12858665.4138
E04;2022-6-1 00:01:30;1077447.37808;-26606925.7366;12934753.0104
E04;2022-6-1 00:02:00;1088345.18669;-26569484.0102;13010661.7297
E04;2022-6-1 00:02:30;1099397.39211;-26531850.0782;13086390.5228
E04;2022-6-1 00:03:00;1110604.73326;-26494024.9596;13161938.3434
E04;2022-6-1 00:03:30;1121967.94317;-26456009.6782;13237304.1473
E04;2022-6-1 00:04:00;1133487.74897;-26417805.2628;13312486.8932
E04;2022-6-1 00:04:30;1145164.87184;-26379412.7472;13387485.5423
E04;2022-6-1 00:05:00;1157000.027;-26340833.17;13462299.058
E04;2022-6-1 00:05:30;1168993.92369;-26302067.5744;13536926.4067
E04;2022-6-1 00:06:00;1181147.26514;-26263117.0087;13611366.5571
E04;2022-6-1 00:06:30;1193460.74853;-26223982.5257;13685618.4806
E04;2022-6-1 00:07:00;1205935.06497;-26184665.183;13759681.1513
E04;2022-6-1 00:07:30;1218570.8995;-26145166.0427;13833553.5457
E04;2022-6-1 00:08:00;1231368.93103;-26105486.1718;13907234.6432
E04;2022-6-1 00:08:30;1244329.83234;-26065626.6416;13980723.4256
E04;2022-6-1 00:09:00;1257454.27004;-26025588.5282;14054018.8776
E04;2022-6-1 00:09:30;1270742.90452;-25985372.912;14127119.9864
E04;2022-6-1 00:10:00;1284196.39;-25944980.878;14200025.742
E04;2022-6-1 00:10:30;1297815.37441;-25904413.5156;14272735.1371
E04;2022-6-1 00:11:00;1311600.49945;-25863671.9186;14345247.1671
E04;2022-6-1 00:11:30;1325552.40048;-25822757.1852;14417560.8301
E04;2022-6-1 00:12:00;1339671.70659;-25781670.4178;14489675.1271
E04;2022-6-1 00:12:30;1353959.04049;-25740412.7232;14561589.0617
E04;2022-6-1 00:13:00;1368415.01854;-25698985.2125;14633301.6403
E04;2022-6-1 00:13:30;1383040.25069;-25657389.0008;14704811.8722
E04;2022-6-1 00:14:00;1397835.34049;-25615625.2077;14776118.7694
E04;2022-6-1 00:14:30;1412800.88505;-25573694.9565;14847221.3468
E04;2022-6-1 00:15:00;1427937.475;-25531599.375;14918118.622
E04;2022-6-1 00:15:30;1443245.69449;-25489339.5948;14988809.6156
E04;2022-6-1 00:16:00;1458726.12117;-25446916.7517;15059293.351
E04;2022-6-1 00:16:30;1474379.32615;-25404331.9854;15129568.8545
E04;2022-6-1 00:17:00;1490205.87396;-25361586.4394;15199635.1552
E04;2022-6-1 00:17:30;1506206.3226;-25318681.2614;15269491.2851
E04;2022-6-1 00:18:00;1522381.22343;-25275617.6027;15339136.2793
E04;2022-6-1 00:18:30;1538731.12121;-25232396.6185;15408569.1755
E04;2022-6-1 00:19:00;1555256.55405;-25189019.4679;15477789.0147
E04;2022-6-1 00:19:30;1571958.05339;-25145487.3136;15546794.8406
E04;2022-6-1 00:20:00;1588836.144;-25101801.322;15615585.7
E04;2022-6-1 00:20:30;1605891.34392;-25057962.6633;15684160.6426
E04;2022-6-1 00:21:00;1623124.16449;-25013972.5113;15752518.7211
E04;2022-6-1 00:21:30;1640535.11029;-24969832.0432;15820658.9912
E04;2022-6-1 00:22:00;1658124.67913;-24925542.4399;15888580.5117
E04;2022-6-1 00:22:30;1675893.36209;-24881104.8858;15956282.3444
E04;2022-6-1 00:23:00;1693841.64328;-24836520.5688;16023763.5541
E04;2022-6-1 00:23:30;1711970.00015;-24791790.6801;16091023.2086
E04;2022-6-1 00:24:00;1730278.90325;-24746916.4144;16158060.3788
E04;2022-6-1 00:24:30;1748768.81626;-24701898.9696;16224874.1389
E04;2022-6-1 00:25:00;1767440.196;-24656739.547;16291463.566
E04;2022-6-1 00:25:30;1786293.49237;-24611439.3512;16357827.7402
E04;2022-6-1 00:26:00;1805329.14835;-24565999.59;16423965.745
E04;2022-6-1 00:26:30;1824547.59999;-24520421.4742;16489876.6668
E04;2022-6-1 00:27:00;1843949.27638;-24474706.2179;16555559.5953
E04;2022-6-1 00:27:30;1863534.59957;-24428855.0385;16621013.6231
E04;2022-6-1 00:28:00;1883303.98485;-24382869.156;16686237.8465
E04;2022-6-1 00:28:30;1903257.84026;-24336749.7936;16751231.3644
E04;2022-6-1 00:29:00;1923396.56689;-24290498.1775;16815993.2792
E04;2022-6-1 00:29:30;1943720.5588;-24244115.537;16880522.6965
E04;2022-6-1 00:30:00;1964230.203;-24197603.104;16944818.725
E04;2022-6-1 00:30:30;1984925.8794;-24150962.1134;17008880.4767
E04;2022-6-1 00:31:00;2005807.96084;-24104193.8028;17072707.0669
E04;2022-6-1 00:31:30;2026876.81306;-24057299.4128;17136297.6139
E04;2022-6-1 00:32:00;2048132.79466;-24010280.1863;17199651.2397
E04;2022-6-1 00:32:30;2069576.25721;-23963137.3692;17262767.0694
E04;2022-6-1 00:33:00;2091207.54486;-23915872.2101;17325644.231
E04;2022-6-1 00:33:30;2113026.99488;-23868485.9599;17388281.8564
E04;2022-6-1 00:34:00;2135034.93724;-23820979.8722;17450679.0804
E04;2022-6-1 00:34:30;2157231.69474;-23773355.203;17512835.0414
E04;2022-6-1 00:35:00;2179617.583;-23725613.211;17574748.881
E04;2022-6-1 00:35:30;2202192.91038;-23677755.157;17636419.7442
E04;2022-6-1 00:36:00;2224957.97803;-23629782.3045;17697846.7794
E04;2022-6-1 00:36:30;2247913.07985;-23581695.9189;17759029.1382
E04;2022-6-1 00:37:00;2271058.50249;-23533497.2684;17819965.9758
E04;2022-6-1 00:37:30;2294394.52523;-23485187.6231;17880656.4506
E04;2022-6-1 00:38:00;2317921.42036;-23436768.2553;17941099.7248
E04;2022-6-1 00:38:30;2341639.45257;-23388240.4396;18001294.9635
E04;2022-6-1 00:39:00;2365548.87935;-23339605.4526;18061241.3355
E04;2022-6-1 00:39:30;2389649.95088;-23290864.5732;18120938.0131
E04;2022-6-1 00:40:00;2413942.91;-23242019.082;18180384.172
E04;2022-6-1 00:40:30;2438427.9922;-23193070.2618;18239578.9913
E04;2022-6-1 00:41:00;2463105.42565;-23144019.3974;18298521.6536
E04;2022-6-1 00:41:30;2487975.43111;-23094867.7753;18357211.345
E04;2022-6-1 00:42:00;2513038.22202;-23045616.6839;18415647.2552
E04;2022-6-1 00:42:30;2538294.00451;-22996267.4133;18473828.5772
E04;2022-6-1 00:43:00;2563742.97702;-22946821.2559;18531754.5077
E04;2022-6-1 00:43:30;2589385.33089;-22897279.5053;18589424.247
E04;2022-6-1 00:44:00;2615221.24997;-22847643.4568;18646836.9987
E04;2022-6-1 00:44:30;2641250.91067;-22797914.4075;18703991.9701
E04;2022-6-1 00:45:00;2667474.482;-22748093.656;18760888.372
E04;2022-6-1 00:45:30;2693892.12551;-22698182.5025;18817525.4189
E04;2022-6-1 00:46:00;2720503.99533;-22648182.2486;18873902.3289
E04;2022-6-1 00:46:30;2747310.23813;-22598094.1974;18930018.3234
E04;2022-6-1 00:47:00;2774310.9931;-22547919.6536;18985872.6278
E04;2022-6-1 00:47:30;2801506.39193;-22497659.923;19041464.4709
E04;2022-6-1 00:48:00;2828896.55904;-22447316.3127;19096793.0852
E04;2022-6-1 00:48:30;2856481.61115;-22396890.1312;19151857.7067
E04;2022-6-1 00:49:00;2884261.65755;-22346382.6883;19206657.5753
E04;2022-6-1 00:49:30;2912236.80007;-22295795.2949;19261191.9343
E04;2022-6-1 00:50:00;2940407.133;-22245129.263;19315460.031
E04;2022-6-1 00:50:30;2968772.74316;-22194385.9058;19369461.1161
E04;2022-6-1 00:51:00;2997333.70983;-22143566.5376;19423194.444
E04;2022-6-1 00:51:30;3026090.1048;-22092672.4735;19476659.2731
E04;2022-6-1 00:52:00;3055041.99233;-22041705.0298;19529854.8651
E04;2022-6-1 00:52:30;3084189.4292;-21990665.5233;19582780.4856
E04;2022-6-1 00:53:00;3113532.4645;-21939555.2725;19635435.4042
E04;2022-6-1 00:53:30;3143071.13997;-21888375.5958;19687818.8939
E04;2022-6-1 00:54:00;3172805.48974;-21837127.8131;19739930.2316
