SV;DATETIME;X;Y;Z
E04;2022-6-1 00:00:00;1045672.84191;-26718086.7244;12705957.4323
E04;2022-6-1 00:00:30;1056111.95956;-26681227.6745;12782399.6321
E04;2022-6-1 00:01:00;1066703.22244;-26644173.3919;12858665.0601
E04;2022-6-1 00:01:30;1077447.38686;-26606924.8806;12934752.6621
E04;2022-6-1 00:02:00;1088345.20335;-26569483.1495;13010661.3869
E04;2022-6-1 00:02:30;1099397.41662;-26531849.2126;13086390.1853
E04;2022-6-1 00:03:00;1110604.76556;-26494024.0891;13161938.011
E04;2022-6-1 00:03:30;1121967.98315;-26456008.8029;13237303.8199
E04;2022-6-1 00:04:00;1133487.79649;-26417804.3828;13312486.5706
E04;2022-6-1 00:04:30;1145164.92678;-26379411.8625;13387485.2243
E04;2022-6-1 00:05:00;1157000.08922;-26340832.2806;13462298.7445
E04;2022-6-1 00:05:30;1168993.99307;-26302066.6806;13536926.0975
E04;2022-6-1 00:06:00;1181147.34153;-26263116.1104;13611366.2521
E04;2022-6-1 00:06:30;1193460.83182;-26223981.6231;13685618.1797
E04;2022-6-1 00:07:00;1205935.15507;-26184664.2761;13759680.8543
E04;2022-6-1 00:07:30;1218570.99631;-26145165.1316;13833553.2526
E04;2022-6-1 00:08:00;1231369.03446;-26105485.2566;13907234.3538
E04;2022-6-1 00:08:30;1244329.94232;-26065625.7224;13980723.1399
E04;2022-6-1 00:09:00;1257454.38649;-26025587.605;14054018.5954
E04;2022-6-1 00:09:30;1270743.02739;-25985371.9849;14127119.7076
E04;2022-6-1 00:00:00;1045672.69926;-26718086.8742;12705957.2412
E04;2022-6-1 00:00:30;1056111.81926;-26681227.8229;12782399.4435
E04;2022-6-1 00:01:00;1066703.08447;-26644173.5388;12858664.8738
E04;2022-6-1 00:01:30;1077447.25118;-26606925.026;12934752.4782
E04;2022-6-1 00:02:00;1088345.06993;-26569483.2935;13010661.2053
E04;2022-6-1 00:02:30;1099397.28543;-26531849.3554;13086390.006
E04;2022-6-1 00:03:00;1110604.63656;-26494024.2305;13161937.8339
E04;2022-6-1 00:03:30;1121967.85631;-26456008.9429;13237303.6451
E04;2022-6-1 00:04:00;1133487.67178;-26417804.5215;13312486.398
E04;2022-6-1 00:04:30;1145164.80417;-26379411.9999;13387485.0538
E04;2022-6-1 00:05:00;1156999.96867;-26340832.4167;13462298.5762
E04;2022-6-1 00:05:30;1168993.87455;-26302066.8154;13536925.9313
E04;2022-6-1 00:06:00;1181147.22502;-26263116.244;13611366.088
E04;2022-6-1 00:06:30;1193460.71728;-26223981.7554;13685618.0176
E04;2022-6-1 00:07:00;1205935.04246;-26184664.4072;13759680.6943
E04;2022-6-1 00:07:30;1218570.88561;-26145165.2615;13833553.0945
E04;2022-6-1 00:08:00;1231368.92564;-26105485.3853;13907234.1977
E04;2022-6-1 00:08:30;1244329.83534;-26065625.85;13980722.9857
E04;2022-6-1 00:09:00;1257454.28133;-26025587.7314;14054018.4431
E04;2022-6-1 00:09:30;1270742.92402;-25985372.1102;14127119.5573
