SV;DATETIME;X;Y;Z
E07;2022-3-1 00:00:00;-23701112.5;-6136999.835;-16634388.916
E07;2022-3-1 00:00:30;-23652240.3811;-6148339.61293;-16699595.5688
E07;2022-3-1 00:01:00;-23603204.2344;-6159837.94865;-16764571.1788
E07;2022-3-1 00:01:30;-23554005.1986;-6171495.45314;-16829314.8463
E07;2022-3-1 00:02:00;-23504644.4164;-6183312.73097;-16893825.6751
E07;2022-3-1 00:02:30;-23455123.0345;-6195290.38026;-16958102.772
E07;2022-3-1 00:03:00;-23405442.2036;-6207428.99264;-17022145.2473
E07;2022-3-1 00:03:30;-23355603.0785;-6219729.15325;-17085952.2145
E07;2022-3-1 00:04:00;-23305606.8176;-6232191.44073;-17149522.7904
E07;2022-3-1 00:04:30;-23255454.5837;-6244816.42714;-17212856.0951
E07;2022-3-1 00:05:00;-23205147.543;-6257604.678;-17275951.252
E07;2022-3-1 00:05:30;-23154686.8659;-6270556.75224;-17338807.3878
E07;2022-3-1 00:06:00;-23104073.7265;-6283673.20216;-17401423.6324
E07;2022-3-1 00:06:30;-23053309.3025;-6296954.57347;-17463799.1193
E07;2022-3-1 00:07:00;-23002394.7757;-6310401.40517;-17525932.9851
E07;2022-3-1 00:07:30;-22951331.3313;-6324014.22964;-17587824.3698
E07;2022-3-1 00:08:00;-22900120.1583;-6337793.57253;-17649472.4168
E07;2022-3-1 00:08:30;-22848762.4492;-6351739.95279;-17710876.2728
E07;2022-3-1 00:09:00;-22797259.4002;-6365853.88262;-17772035.0879
E07;2022-3-1 00:09:30;-22745612.2111;-6380135.86746;-17832948.0157
E07;2022-3-1 00:10:00;-22693822.085;-6394586.406;-17893614.213
E07;2022-3-1 00:10:30;-22641890.2287;-6409205.9901;-17954032.8402
E07;2022-3-1 00:11:00;-22589817.8523;-6423995.10482;-18014203.0609
E07;2022-3-1 00:11:30;-22537606.1693;-6438954.22838;-18074124.0424
E07;2022-3-1 00:12:00;-22485256.3964;-6454083.83215;-18133794.9553
E07;2022-3-1 00:12:30;-22432769.754;-6469384.38062;-18193214.9735
E07;2022-3-1 00:13:00;-22380147.4653;-6484856.33137;-18252383.2748
E07;2022-3-1 00:13:30;-22327390.757;-6500500.13511;-18311299.04
E07;2022-3-1 00:14:00;-22274500.8589;-6516316.23558;-18369961.4537
E07;2022-3-1 00:14:30;-22221479.0039;-6532305.06959;-18428369.7038
E07;2022-3-1 00:15:00;-22168326.428;-6548467.067;-18486522.982
E07;2022-3-1 00:15:30;-22115044.3703;-6564802.65066;-18544420.4832
E07;2022-3-1 00:16:00;-22061634.073;-6581312.23644;-18602061.4061
E07;2022-3-1 00:16:30;-22008096.781;-6597996.23319;-18659444.9528
E07;2022-3-1 00:17:00;-21954433.7423;-6614855.04273;-18716570.3289
E07;2022-3-1 00:17:30;-21900646.2077;-6631889.05981;-18773436.7438
E07;2022-3-1 00:18:00;-21846735.4311;-6649098.67215;-18830043.4103
E07;2022-3-1 00:18:30;-21792702.6688;-6666484.26037;-18886389.5448
E07;2022-3-1 00:19:00;-21738549.1801;-6684046.198;-18942474.3674
E07;2022-3-1 00:19:30;-21684276.2269;-6701784.85144;-18998297.1017
E07;2022-3-1 00:20:00;-21629885.074;-6719700.58;-19053856.975
E07;2022-3-1 00:20:30;-21575376.9885;-6737793.73582;-19109153.2183
E07;2022-3-1 00:21:00;-21520753.2403;-6756064.66388;-19164185.066
E07;2022-3-1 00:21:30;-21466015.1018;-6774513.70202;-19218951.7565
E07;2022-3-1 00:22:00;-21411163.8479;-6793141.18087;-19273452.5316
E07;2022-3-1 00:22:30;-21356200.756;-6811947.4239;-19327686.6369
