SV;DATETIME;X;Y;Z
E07;2022-3-1 07:00:00;-677991.442363;-24672792.9658;16341333.653
E07;2022-3-1 07:00:30;-654620.075778;-24629446.056;16407582.1268
E07;2022-3-1 07:01:00;-631052.87387;-24585979.0802;16473603.6497
E07;2022-3-1 07:01:30;-607289.527251;-24542393.2901;16539397.3092
E07;2022-3-1 07:02:00;-583329.733782;-24498689.9398;16604962.1959
E07;2022-3-1 07:02:30;-559173.198593;-24454870.2858;16670297.4037
E07;2022-3-1 07:03:00;-534819.634093;-24410935.5868;16735402.0295
E07;2022-3-1 07:03:30;-510268.759984;-24366887.1041;16800275.1736
E07;2022-3-1 07:04:00;-485520.303271;-24322726.1008;16864915.9394
E07;2022-3-1 07:04:30;-460573.998277;-24278453.8425;16929323.4335
E07;2022-3-1 07:05:00;-435429.586655;-24234071.5969;16993496.7658
E07;2022-3-1 07:05:30;-410086.817395;-24189580.6337;17057435.0494
E07;2022-3-1 07:06:00;-384545.446843;-24144982.2247;17121137.4006
E07;2022-3-1 07:06:30;-358805.238703;-24100277.6438;17184602.9392
E07;2022-3-1 07:07:00;-332865.964057;-24055468.1668;17247830.7879
E07;2022-3-1 07:07:30;-306727.401368;-24010555.0715;17310820.0731
E07;2022-3-1 07:08:00;-280389.336495;-23965539.6374;17373569.9241
E07;2022-3-1 07:08:30;-253851.562702;-23920423.1461;17436079.474
E07;2022-3-1 07:09:00;-227113.880666;-23875206.8807;17498347.8587
E07;2022-3-1 07:09:30;-200176.098489;-23829892.1264;17560374.2179
E07;2022-3-1 07:00:00;-677991.671347;-24672793.1069;16341333.4572
E07;2022-3-1 07:00:30;-654620.304767;-24629446.1984;16407581.9327
E07;2022-3-1 07:01:00;-631053.102878;-24585979.2239;16473603.4572
E07;2022-3-1 07:01:30;-607289.756291;-24542393.435;16539397.1182
E07;2022-3-1 07:02:00;-583329.962866;-24498690.0859;16604962.0065
E07;2022-3-1 07:02:30;-559173.427732;-24454870.433;16670297.2158
E07;2022-3-1 07:03:00;-534819.8633;-24410935.7351;16735401.8431
E07;2022-3-1 07:03:30;-510268.989269;-24366887.2534;16800274.9887
E07;2022-3-1 07:04:00;-485520.532646;-24322726.2512;16864915.756
E07;2022-3-1 07:04:30;-460574.227753;-24278453.9939;16929323.2515
E07;2022-3-1 07:05:00;-435429.816242;-24234071.7492;16993496.5852
E07;2022-3-1 07:05:30;-410087.047104;-24189580.7869;17057434.8702
E07;2022-3-1 07:06:00;-384545.676683;-24144982.3788;17121137.2228
E07;2022-3-1 07:06:30;-358805.468685;-24100277.7988;17184602.7627
