SV;DATETIME;X;Y;Z
E08;2022-5-1 00:00:00;-16942988.568;-1784614.973;-24198316.607
E08;2022-5-1 00:00:30;-16925453.8475;-1855333.55568;-24205234.1708
E08;2022-5-1 00:01:00;-16908075.45;-1926111.7221;-24211816.7141
E08;2022-5-1 00:01:30;-16890853.7894;-1996948.14581;-24218064.1452
E08;2022-5-1 00:02:00;-16873789.2727;-2067841.49818;-24223976.3771
E08;2022-5-1 00:02:30;-16856882.2998;-2138790.44847;-24229553.3273
E08;2022-5-1 00:03:00;-16840133.2632;-2209793.6638;-24234794.9179
E08;2022-5-1 00:03:30;-16823542.5483;-2280849.8092;-24239701.0755
E08;2022-5-1 00:04:00;-16807110.5332;-2351957.5476;-24244271.7316
E08;2022-5-1 00:04:30;-16790837.5889;-2423115.53991;-24248506.8219
E08;2022-5-1 00:05:00;-16774724.079;-2494322.445;-24252406.287
E08;2022-5-1 00:05:30;-16758770.3597;-2565576.91975;-24255970.0721
E08;2022-5-1 00:06:00;-16742976.7802;-2636877.6191;-24259198.1269
E08;2022-5-1 00:06:30;-16727343.682;-2708223.19605;-24262090.4059
E08;2022-5-1 00:07:00;-16711871.3994;-2779612.30174;-24264646.8682
E08;2022-5-1 00:07:30;-16696560.2596;-2851043.58546;-24266867.4774
E08;2022-5-1 00:08:00;-16681410.582;-2922515.6947;-24268752.202
E08;2022-5-1 00:08:30;-16666422.6789;-2994027.27519;-24270301.0149
E08;2022-5-1 00:09:00;-16651596.8552;-3065576.97094;-24271513.8939
E08;2022-5-1 00:09:30;-16636933.4082;-3137163.42431;-24272390.8213
E08;2022-5-1 00:10:00;-16622432.628;-3208785.276;-24272931.784
E08;2022-5-1 00:10:30;-16608094.7971;-3280441.16515;-24273136.7737
E08;2022-5-1 00:11:00;-16593920.1908;-3352129.72935;-24273005.7867
E08;2022-5-1 00:11:30;-16579909.0767;-3423849.6047;-24272538.824
E08;2022-5-1 00:12:00;-16566061.715;-3495599.42584;-24271735.8911
E08;2022-5-1 00:12:30;-16552378.3587;-3567377.82604;-24270596.9982
E08;2022-5-1 00:13:00;-16538859.2529;-3639183.43717;-24269122.1604
E08;2022-5-1 00:13:30;-16525504.6357;-3711014.88982;-24267311.3971
E08;2022-5-1 00:14:00;-16512314.7373;-3782870.81331;-24265164.7326
E08;2022-5-1 00:14:30;-16499289.7806;-3854749.83572;-24262682.1957
E08;2022-5-1 00:15:00;-16486429.981;-3926650.584;-24259863.82
E08;2022-5-1 00:15:30;-16473735.5464;-3998571.68393;-24256709.6436
E08;2022-5-1 00:16:00;-16461206.6772;-4070511.76022;-24253219.7093
E08;2022-5-1 00:16:30;-16448843.5663;-4142469.43657;-24249394.0645
E08;2022-5-1 00:17:00;-16436646.3989;-4214443.33565;-24245232.7615
E08;2022-5-1 00:17:30;-16424615.3529;-4286432.07922;-24240735.8569
E08;2022-5-1 00:18:00;-16412750.5985;-4358434.28811;-24235903.4121
E08;2022-5-1 00:18:30;-16401052.2985;-4430448.58233;-24230735.4932
E08;2022-5-1 00:19:00;-16389520.6081;-4502473.58105;-24225232.1709
E08;2022-5-1 00:19:30;-16378155.6749;-4574507.90271;-24219393.5205
E08;2022-5-1 00:20:00;-16366957.639;-4646550.165;-24213219.622
E08;2022-5-1 00:20:30;-16355926.6329;-4718598.98496;-24206710.56
E08;2022-5-1 00:21:00;-16345062.7816;-4790652.979;-24199866.4237
E08;2022-5-1 00:21:30;-16334366.2025;-4862710.76293;-24192687.3071
E08;2022-5-1 00:22:00;-16323837.0054;-4934770.95206;-24185173.3086
E08;2022-5-1 00:22:30;-16313475.2925;-5006832.161;-24177324.5316
E08;2022-5-1 00:23:00;-16303281.1587;-5078893.00448;-24169141.0837
E08;2022-5-1 00:23:30;-16293254.6909;-5150952.09627;-24160623.0774
E08;2022-5-1 00:24:00;-16283395.9686;-5223008.04997;-24151770.6297
E08;2022-5-1 00:24:30;-16273705.0639;-5295059.47888;-24142583.8625
E08;2022-5-1 00:25:00;-16264182.041;-5367104.996;-24133062.902
E08;2022-5-1 00:25:30;-16254826.9567;-5439143.21416;-24123207.8792
