SV;DATETIME;X;Y;Z
E08;2022-5-1 06:00:00;-11408026.4881;-17695738.9309;20808260.2216
E08;2022-5-1 06:00:30;-11347335.9251;-17680179.7889;20854665.5658
E08;2022-5-1 06:01:00;-11286474.9052;-17664726.6808;20900782.4736
E08;2022-5-1 06:01:30;-11225444.4451;-17649380.4907;20946610.3084
E08;2022-5-1 06:02:00;-11164245.5672;-17634142.0977;20992148.4374
E08;2022-5-1 06:02:30;-11102879.2991;-17619012.3752;21037396.2321
E08;2022-5-1 06:03:00;-11041346.6737;-17603992.191;21082353.0679
E08;2022-5-1 06:03:30;-10979648.7291;-17589082.4076;21127018.3242
E08;2022-5-1 06:04:00;-10917786.5089;-17574283.8819;21171391.3844
E08;2022-5-1 06:04:30;-10855761.0617;-17559597.465;21215471.6361
E08;2022-5-1 06:05:00;-10793573.4414;-17545024.0028;21259258.4707
E08;2022-5-1 06:05:30;-10731224.7069;-17530564.3351;21302751.2839
E08;2022-5-1 06:06:00;-10668715.9223;-17516219.2963;21345949.4755
E08;2022-5-1 06:06:30;-10606048.1569;-17501989.715;21388852.4491
E08;2022-5-1 06:07:00;-10543222.4848;-17487876.4142;21431459.6126
E08;2022-5-1 06:07:30;-10480239.9853;-17473880.2108;21473770.378
E08;2022-5-1 06:08:00;-10417101.7426;-17460001.9164;21515784.1612
E08;2022-5-1 06:08:30;-10353808.8459;-17446242.3363;21557500.3825
E08;2022-5-1 06:09:00;-10290362.3891;-17432602.2702;21598918.4662
E08;2022-5-1 06:09:30;-10226763.4712;-17419082.5119;21640037.8405
E08;2022-5-1 06:00:00;-11408026.5893;-17695738.8555;20808260.2072
E08;2022-5-1 06:00:30;-11347336.0281;-17680179.7151;20854665.5507
E08;2022-5-1 06:01:00;-11286475.0099;-17664726.6085;20900782.4578
E08;2022-5-1 06:01:30;-11225444.5516;-17649380.42;20946610.2918
E08;2022-5-1 06:02:00;-11164245.6755;-17634142.0285;20992148.4202
E08;2022-5-1 06:02:30;-11102879.4091;-17619012.3074;21037396.2143
E08;2022-5-1 06:03:00;-11041346.7853;-17603992.1247;21082353.0494
E08;2022-5-1 06:03:30;-10979648.8425;-17589082.3427;21127018.3051
E08;2022-5-1 06:04:00;-10917786.624;-17574283.8183;21171391.3647
E08;2022-5-1 06:04:30;-10855761.1785;-17559597.4028;21215471.6158
E08;2022-5-1 06:05:00;-10793573.5598;-17545023.9419;21259258.4499
E08;2022-5-1 06:05:30;-10731224.827;-17530564.2755;21302751.2627
E08;2022-5-1 06:06:00;-10668716.044;-17516219.238;21345949.4537
E08;2022-5-1 06:06:30;-10606048.2802;-17501989.658;21388852.4269
E08;2022-5-1 06:07:00;-10543222.6098;-17487876.3583;21431459.59
E08;2022-5-1 06:07:30;-10480240.1119;-17473880.1562;21473770.3549
E08;2022-5-1 06:08:00;-10417101.8708;-17460001.8629;21515784.1377
E08;2022-5-1 06:08:30;-10353808.9756;-17446242.2839;21557500.3587
E08;2022-5-1 06:09:00;-10290362.5204;-17432602.219;21598918.4419
E08;2022-5-1 06:09:30;-10226763.604;-17419082.4618;21640037.8159
E08;2022-5-1 07:00:00;-3230974.44082;-16784246.4007;24172987.2427
E08;2022-5-1 07:00:30;-3158298.36461;-16785982.7398;24181418.7039
E08;2022-5-1 07:01:00;-3085601.70866;-16787885.4116;24189515.8631
E08;2022-5-1 07:01:30;-3012885.85797;-16789954.4868;24197278.6093
