SV;DATETIME;X;Y;Z
E09;2022-4-1 00:00:00;17796739.396;-23131260.945;-4892678.856
E09;2022-4-1 00:00:30;17805674.526;-23142959.5438;-4804147.20394
E09;2022-4-1 00:01:00;17814397.5627;-23154487.1321;-4715549.03494
E09;2022-4-1 00:01:30;17822909.1776;-23165842.6801;-4626885.57528
E09;2022-4-1 00:02:00;17831210.0487;-23177025.1625;-4538158.05227
E09;2022-4-1 00:02:30;17839300.8605;-23188033.5582;-4449367.69423
E09;2022-4-1 00:03:00;17847182.3039;-23198866.8509;-4360515.7304
E09;2022-4-1 00:03:30;17854855.076;-23209524.0284;-4271603.39098
E09;2022-4-1 00:04:00;17862319.8804;-23220004.0834;-4182631.90702
E09;2022-4-1 00:04:30;17869577.427;-23230306.0133;-4093602.51044
E09;2022-4-1 00:05:00;17876628.432;-23240428.82;-4004516.434
E09;2022-4-1 00:05:30;17883473.6177;-23250371.5102;-3915374.91126
E09;2022-4-1 00:06:00;17890113.7127;-23260133.0953;-3826179.17656
E09;2022-4-1 00:06:30;17896549.4517;-23269712.5918;-3736930.46499
E09;2022-4-1 00:07:00;17902781.5759;-23279109.0208;-3647630.0124
E09;2022-4-1 00:07:30;17908810.8321;-23288321.4084;-3558279.05534
E09;2022-4-1 00:08:00;17914637.9735;-23297348.7857;-3468878.83105
E09;2022-4-1 00:08:30;17920263.7593;-23306190.1888;-3379430.57747
E09;2022-4-1 00:09:00;17925688.9549;-23314844.6588;-3289935.53318
E09;2022-4-1 00:09:30;17930914.3314;-23323311.2418;-3200394.9374
E09;2022-4-1 00:10:00;17935940.666;-23331588.989;-3110810.03
E09;2022-4-1 00:10:30;17940768.742;-23339676.9569;-3021182.05142
E09;2022-4-1 00:11:00;17945399.3483;-23347574.207;-2931512.24271
E09;2022-4-1 00:11:30;17949833.28;-23355279.8061;-2841801.8455
E09;2022-4-1 00:12:00;17954071.338;-23362792.8261;-2752052.10194
E09;2022-4-1 00:12:30;17958114.3287;-23370112.3444;-2662264.25476
E09;2022-4-1 00:13:00;17961963.0648;-23377237.4435;-2572439.54719
E09;2022-4-1 00:13:30;17965618.3643;-23384167.2113;-2482579.22297
E09;2022-4-1 00:14:00;17969081.0514;-23390900.7412;-2392684.52632
E09;2022-4-1 00:14:30;17972351.9555;-23397437.1317;-2302756.70195
E09;2022-4-1 00:15:00;17975431.912;-23403775.487;-2212796.995
E09;2022-4-1 00:15:30;17978321.7619;-23409914.9167;-2122806.65107
E09;2022-4-1 00:16:00;17981022.3518;-23415854.5359;-2032786.91618
E09;2022-4-1 00:16:30;17983534.5338;-23421593.4651;-1942739.03673
E09;2022-4-1 00:17:00;17985859.1655;-23427130.8306;-1852664.25953
E09;2022-4-1 00:17:30;17987997.1104;-23432465.764;-1762563.83176
E09;2022-4-1 00:18:00;17989949.2369;-23437597.4029;-1672439.00094
E09;2022-4-1 00:18:30;17991716.4192;-23442524.8903;-1582291.01492
E09;2022-4-1 00:19:00;17993299.537;-23447247.3748;-1492121.1219
E09;2022-4-1 00:19:30;17994699.4752;-23451764.011;-1401930.57034
E09;2022-4-1 00:20:00;17995917.124;-23456073.959;-1311720.609
E09;2022-4-1 00:20:30;17996953.3791;-23460176.3849;-1221492.48691
E09;2022-4-1 00:21:00;17997809.1413;-23464070.4605;-1131247.45335
E09;2022-4-1 00:21:30;17998485.3169;-23467755.3634;-1040986.75781
E09;2022-4-1 00:22:00;17998982.8171;-23471230.2772;-950711.650005
E09;2022-4-1 00:22:30;17999302.5584;-23474494.3915;-860423.379727
E09;2022-4-1 00:23:00;17999445.4627;-23477546.9012;-770123.197315
E09;2022-4-1 00:23:30;17999412.4568;-23480387.008;-679812.352891
E09;2022-4-1 00:24:00;17999204.4724;-23483013.9192;-589492.096841
