SV;DATETIME;X;Y;Z
E09;2022-4-1 00:00:00;17796739.2855;-23131259.9765;-4892678.56601
E09;2022-4-1 00:00:30;17805674.4245;-23142958.5658;-4804146.90734
E09;2022-4-1 00:01:00;17814397.4692;-23154486.147;-4715548.73022
E09;2022-4-1 00:01:30;17822909.0914;-23165841.6897;-4626885.26148
E09;2022-4-1 00:02:00;17831209.9693;-23177024.1679;-4538157.72887
E09;2022-4-1 00:02:30;17839300.7875;-23188032.5602;-4449367.361
E09;2022-4-1 00:03:00;17847182.237;-23198865.8497;-4360515.38734
E09;2022-4-1 00:03:30;17854855.015;-23209523.0243;-4271603.03824
E09;2022-4-1 00:04:00;17862319.8252;-23220003.0764;-4182631.54486
E09;2022-4-1 00:04:30;17869577.3775;-23230305.0033;-4093602.13919
E09;2022-4-1 00:05:00;17876628.3881;-23240427.8068;-4004516.05401
E09;2022-4-1 00:05:30;17883473.5793;-23250370.4936;-3915374.52288
E09;2022-4-1 00:06:00;17890113.6799;-23260132.0752;-3826178.78014
E09;2022-4-1 00:06:30;17896549.4244;-23269711.568;-3736930.06087
E09;2022-4-1 00:07:00;17902781.5539;-23279107.9932;-3647629.60087
E09;2022-4-1 00:07:30;17908810.8154;-23288320.3769;-3558278.63668
E09;2022-4-1 00:08:00;17914637.9621;-23297347.7503;-3468878.40549
E09;2022-4-1 00:08:30;17920263.7532;-23306189.1495;-3379430.14523
E09;2022-4-1 00:09:00;17925688.9538;-23314843.6155;-3289935.09444
E09;2022-4-1 00:09:30;17930914.3352;-23323310.1946;-3200394.49233
E09;2022-4-1 00:00:00;17796739.0982;-23131260.0821;-4892678.93074
E09;2022-4-1 00:00:30;17805674.2399;-23142958.67;-4804147.26806
E09;2022-4-1 00:01:00;17814397.2874;-23154486.2498;-4715549.08698
E09;2022-4-1 00:01:30;17822908.9122;-23165841.7911;-4626885.61434
E09;2022-4-1 00:02:00;17831209.7927;-23177024.268;-4538158.07785
E09;2022-4-1 00:02:30;17839300.6135;-23188032.6589;-4449367.70615
E09;2022-4-1 00:03:00;17847182.0655;-23198865.9472;-4360515.72871
E09;2022-4-1 00:03:30;17854854.846;-23209523.1205;-4271603.37586
E09;2022-4-1 00:04:00;17862319.6587;-23220003.1714;-4182631.87878
E09;2022-4-1 00:04:30;17869577.2135;-23230305.0971;-4093602.46945
E09;2022-4-1 00:05:00;17876628.2264;-23240427.8994;-4004516.38065
E09;2022-4-1 00:05:30;17883473.42;-23250370.585;-3915374.84595
E09;2022-4-1 00:06:00;17890113.5229;-23260132.1655;-3826179.09968
E09;2022-4-1 00:06:30;17896549.2697;-23269711.6572;-3736930.37693
E09;2022-4-1 00:07:00;17902781.4014;-23279108.0813;-3647629.91349
