SV;DATETIME;X;Y;Z
E25;2022-7-1 00:00:00;-21156360.548;-7158266.29;-19416620.983
E25;2022-7-1 00:00:30;-21100037.7783;-7174419.06043;-19471842.8325
E25;2022-7-1 00:01:00;-21043595.0553;-7190753.56949;-19526795.1659
E25;2022-7-1 00:01:30;-20987033.6853;-7207270.19096;-19581477.2223
E25;2022-7-1 00:02:00;-20930354.9775;-7223969.29131;-19635888.2449
E25;2022-7-1 00:02:30;-20873560.2438;-7240851.22966;-19690027.4802
E25;2022-7-1 00:03:00;-20816650.7987;-7257916.35777;-19743894.1788
E25;2022-7-1 00:03:30;-20759627.9595;-7275165.02002;-19797487.5948
E25;2022-7-1 00:04:00;-20702493.0457;-7292597.55335;-19850806.9864
E25;2022-7-1 00:04:30;-20645247.3797;-7310214.28732;-19903851.6152
E25;2022-7-1 00:05:00;-20587892.286;-7328015.544;-19956620.747
E25;2022-7-1 00:05:30;-20530429.0917;-7346001.63803;-20009113.6511
E25;2022-7-1 00:06:00;-20472859.1263;-7364172.87656;-20061329.6008
E25;2022-7-1 00:06:30;-20415183.7215;-7382529.55923;-20113267.8731
E25;2022-7-1 00:07:00;-20357404.2111;-7401071.97821;-20164927.7489
E25;2022-7-1 00:07:30;-20299521.9315;-7419800.4181;-20216308.5131
E25;2022-7-1 00:08:00;-20241538.2209;-7438715.156;-20267409.4543
E25;2022-7-1 00:08:30;-20183454.4198;-7457816.46144;-20318229.8649
E25;2022-7-1 00:09:00;-20125271.8708;-7477104.59642;-20368769.0414
E25;2022-7-1 00:09:30;-20066991.9183;-7496579.81533;-20419026.284
E25;2022-7-1 00:10:00;-20008615.909;-7516242.365;-20469000.897
E25;2022-7-1 00:10:30;-19950145.1913;-7536092.48466;-20518692.1884
E25;2022-7-1 00:11:00;-19891581.1155;-7556130.40595;-20568099.4703
E25;2022-7-1 00:11:30;-19832925.0338;-7576356.35287;-20617222.0586
E25;2022-7-1 00:12:00;-19774178.3004;-7596770.54181;-20666059.2732
E25;2022-7-1 00:12:30;-19715342.2707;-7617373.18154;-20714610.438
E25;2022-7-1 00:13:00;-19656418.3025;-7638164.47316;-20762874.8808
E25;2022-7-1 00:13:30;-19597407.7547;-7659144.61015;-20810851.9333
E25;2022-7-1 00:14:00;-19538311.988;-7680313.77831;-20858540.9314
E25;2022-7-1 00:14:30;-19479132.3649;-7701672.15577;-20905941.2147
E25;2022-7-1 00:15:00;-19419870.249;-7723219.913;-20953052.127
E25;2022-7-1 00:15:30;-19360527.0057;-7744957.21277;-20999873.0161
E25;2022-7-1 00:16:00;-19301104.0018;-7766884.21016;-21046403.2337
E25;2022-7-1 00:16:30;-19241602.6053;-7789001.05257;-21092642.1356
E25;2022-7-1 00:17:00;-19182024.1857;-7811307.87967;-21138589.0816
E25;2022-7-1 00:17:30;-19122370.1138;-7833804.82342;-21184243.4356
E25;2022-7-1 00:18:00;-19062641.7615;-7856492.00807;-21229604.5656
E25;2022-7-1 00:18:30;-19002840.502;-7879369.55014;-21274671.8434
E25;2022-7-1 00:19:00;-18942967.7098;-7902437.55841;-21319444.6452
