SV;DATETIME;X;Y;Z
E25;2022-7-1 07:00:00;966652.34882;-22540213.3882;19170535.732
E25;2022-7-1 07:00:30;996598.52076;-22490810.3025;19226965.9718
E25;2022-7-1 07:01:00;1026751.99566;-22441335.4319;19283130.3877
E25;2022-7-1 07:01:30;1057112.81214;-22391790.1313;19339028.204
E25;2022-7-1 07:02:00;1087681.00103;-22342175.7565;19394658.6486
E25;2022-7-1 07:02:30;1118456.58534;-22292493.664;19450020.9528
E25;2022-7-1 07:03:00;1149439.58028;-22242745.211;19505114.3522
E25;2022-7-1 07:03:30;1180629.99324;-22192931.7554;19559938.0854
E25;2022-7-1 07:04:00;1212027.82381;-22143054.6554;19614491.3954
E25;2022-7-1 07:04:30;1243633.06374;-22093115.2702;19668773.5286
E25;2022-7-1 07:05:00;1275445.69699;-22043114.9591;19722783.735
E25;2022-7-1 07:05:30;1307465.69968;-21993055.0821;19776521.2687
E25;2022-7-1 07:06:00;1339693.0401;-21942936.9997;19829985.3875
E25;2022-7-1 07:06:30;1372127.67873;-21892762.0723;19883175.3528
E25;2022-7-1 07:07:00;1404769.56822;-21842531.6612;19936090.4298
E25;2022-7-1 07:07:30;1437618.6534;-21792247.1276;19988729.8878
E25;2022-7-1 07:08:00;1470674.87125;-21741909.833;20041092.9996
E25;2022-7-1 07:08:30;1503938.15095;-21691521.139;20093179.042
E25;2022-7-1 07:09:00;1537408.41384;-21641082.4076;20144987.2954
E25;2022-7-1 07:09:30;1571085.57343;-21590595.0007;20196517.0444
E25;2022-7-1 07:00:00;966652.240097;-22540213.475;19170535.6672
E25;2022-7-1 07:00:30;996598.412623;-22490810.3898;19226965.908
E25;2022-7-1 07:01:00;1026751.88809;-22441335.5195;19283130.325
E25;2022-7-1 07:01:30;1057112.70512;-22391790.2193;19339028.1424
E25;2022-7-1 07:02:00;1087680.89454;-22342175.8449;19394658.588
E25;2022-7-1 07:02:30;1118456.47937;-22292493.7528;19450020.8933
E25;2022-7-1 07:03:00;1149439.47481;-22242745.3001;19505114.2936
E25;2022-7-1 07:03:30;1180629.88825;-22192931.8448;19559938.0279
E25;2022-7-1 07:04:00;1212027.71929;-22143054.7451;19614491.3389
E25;2022-7-1 07:04:30;1243632.95967;-22093115.3602;19668773.473
E25;2022-7-1 07:05:00;1275445.59336;-22043115.0494;19722783.6804
E25;2022-7-1 07:05:30;1307465.59646;-21993055.1727;19776521.2151
E25;2022-7-1 07:06:00;1339692.93729;-21942937.0904;19829985.3349
E25;2022-7-1 07:06:30;1372127.5763;-21892762.1634;19883175.3011
E25;2022-7-1 07:07:00;1404769.46617;-21842531.7524;19936090.3791
E25;2022-7-1 07:07:30;1437618.5517;-21792247.219;19988729.838
E25;2022-7-1 07:08:00;1470674.76989;-21741909.9246;20041092.9507
E25;2022-7-1 07:08:30;1503938.04992;-21691521.2308;20093178.994
E25;2022-7-1 07:09:00;1537408.31313;-21641082.4996;20144987.2483
E25;2022-7-1 07:09:30;1571085.47302;-21590595.0928;20196516.9982
E25;2022-7-1 07:00:00;966652.079999;-22540213.5608;19170535.5663
E25;2022-7-1 07:00:30;996598.253211;-22490810.4764;19226965.8082
E25;2022-7-1 07:01:00;1026751.72934;-22441335.6069;19283130.2263
E25;2022-7-1 07:01:30;1057112.54702;-22391790.3075;19339028.0447
E25;2022-7-1 07:02:00;1087680.73707;-22342175.9339;19394658.4914
E25;2022-7-1 07:02:30;1118456.32251;-22292493.8425;19450020.7977
E25;2022-7-1 07:03:00;1149439.31854;-22242745.3906;19505114.1991
E25;2022-7-1 07:03:30;1180629.73255;-22192931.9359;19559937.9345
E25;2022-7-1 07:04:00;1212027.56414;-22143054.8369;19614491.2465
E25;2022-7-1 07:04:30;1243632.80507;-22093115.4526;19668773.3816
E25;2022-7-1 07:05:00;1275445.43927;-22043115.1425;19722783.5901
