SV  ;DATETIME          ;X              ;Y              ;Z
G01 ;2022-2-1 00:00:00 ;13513291.027   ;-6722592.02599 ;21531604.366
G01 ;2022-2-1 00:00:30 ;13525442.2993  ;-6639456.67141 ;21550529.0633
G01 ;2022-2-1 00:01:00 ;13537755.3375  ;-6556275.63897 ;21569028.5664
G01 ;2022-2-1 00:01:30 ;13550230.1732  ;-6473050.88822 ;21587102.5415
G01 ;2022-2-1 00:02:00 ;13562866.8271  ;-6389784.37938 ;21604750.6636
G01 ;2022-2-1 00:02:30 ;13575665.3089  ;-6306478.07331 ;21621972.6163
G01 ;2022-2-1 00:03:00 ;13588625.6174  ;-6223133.93141 ;21638768.0916
G01 ;2022-2-1 00:03:30 ;13601747.7407  ;-6139753.91547 ;21655136.7905
G01 ;2022-2-1 00:04:00 ;13615031.6559  ;-6056339.98764 ;21671078.4224
G01 ;2022-2-1 00:04:30 ;13628477.3292  ;-5972894.11031 ;21686592.7056
G01 ;2022-2-1 00:05:00 ;13642084.716   ;-5889418.246   ;21701679.367
G01 ;2022-2-1 00:05:30 ;13655853.7609  ;-5805914.35732 ;21716338.1421
G01 ;2022-2-1 00:06:00 ;13669784.3978  ;-5722384.40684 ;21730568.7754
G01 ;2022-2-1 00:06:30 ;13683876.5494  ;-5638830.35704 ;21744371.0197
G01 ;2022-2-1 00:07:00 ;13698130.1279  ;-5555254.17019 ;21757744.6369
G01 ;2022-2-1 00:07:30 ;13712545.0346  ;-5471657.8083  ;21770689.3974
G01 ;2022-2-1 00:08:00 ;13727121.1601  ;-5388043.23302 ;21783205.0805
G01 ;2022-2-1 00:08:30 ;13741858.3841  ;-5304412.40557 ;21795291.474
G01 ;2022-2-1 00:09:00 ;13756756.5754  ;-5220767.28663 ;21806948.3747
G01 ;2022-2-1 00:09:30 ;13771815.5922  ;-5137109.8363  ;21818175.588
G01 ;2022-2-1 00:10:00 ;13787035.282   ;-5053442.014   ;21828972.928
G01 ;2022-2-1 00:10:30 ;13802415.4813  ;-4969765.77839 ;21839340.2176
G01 ;2022-2-1 00:11:00 ;13817956.0159  ;-4886083.08729 ;21849277.2885
G01 ;2022-2-1 00:11:30 ;13833656.701   ;-4802395.8976  ;21858783.9809
G01 ;2022-2-1 00:12:00 ;13849517.3408  ;-4718706.16525 ;21867860.1441
G01 ;2022-2-1 00:12:30 ;13865537.7291  ;-4635015.84506 ;21876505.636
G01 ;2022-2-1 00:13:00 ;13881717.6486  ;-4551326.89072 ;21884720.323
G01 ;2022-2-1 00:13:30 ;13898056.8716  ;-4467641.2547  ;21892504.0805
