SV;DATETIME;X;Y;Z
G15;2022-4-1 04:00:00;4737830.24855;-21669173.7109;13968339.8457
G15;2022-4-1 04:00:30;4762162.57806;-21617800.2216;14038430.5796
G15;2022-4-1 04:01:00;4786648.10413;-21566206.4046;14108241.6405
G15;2022-4-1 04:01:30;4811287.41114;-21514393.6854;14177771.6199
G15;2022-4-1 04:02:00;4836081.07488;-21462363.4958;14247019.1151
G15;2022-4-1 04:02:30;4861029.66259;-21410117.2737;14315982.7292
G15;2022-4-1 04:03:00;4886133.73282;-21357656.4633;14384661.0708
G15;2022-4-1 04:03:30;4911393.83548;-21304982.515;14453052.7544
G15;2022-4-1 04:04:00;4936810.51178;-21252096.8852;14521156.4002
G15;2022-4-1 04:04:30;4962384.29418;-21199001.0362;14588970.6342
G15;2022-4-1 04:05:00;4988115.70638;-21145696.4365;14656494.0882
G15;2022-4-1 04:05:30;5014005.26326;-21092184.5603;14723725.4001
G15;2022-4-1 04:06:00;5040053.47087;-21038466.8876;14790663.2134
G15;2022-4-1 04:06:30;5066260.82641;-20984544.9043;14857306.1777
G15;2022-4-1 04:07:00;5092627.81815;-20930420.1019;14923652.9486
G15;2022-4-1 04:07:30;5119154.92545;-20876093.9777;14989702.1876
G15;2022-4-1 04:08:00;5145842.6187;-20821568.0342;15055452.5623
G15;2022-4-1 04:08:30;5172691.35929;-20766843.7799;15120902.7463
G15;2022-4-1 04:09:00;5199701.5996;-20711922.7284;15186051.4193
G15;2022-4-1 04:09:30;5226873.78295;-20656806.3987;15250897.2672
G15;2022-4-1 04:10:00;5254208.34356;-20601496.3153;15315438.9821
G15;2022-4-1 04:10:30;5281705.70659;-20545994.0078;15379675.262
G15;2022-4-1 04:11:00;5309366.288;-20490301.0111;15443604.8114
G15;2022-4-1 04:11:30;5337190.49462;-20434418.8651;15507226.3409
G15;2022-4-1 04:12:00;5365178.72408;-20378349.1149;15570538.5675
G15;2022-4-1 04:12:30;5393331.36478;-20322093.3104;15633540.2144
G15;2022-4-1 04:13:00;5421648.79588;-20265653.0067;15696230.011
G15;2022-4-1 04:13:30;5450131.38726;-20209029.7634;15758606.6934
G15;2022-4-1 04:14:00;5478779.49951;-20152225.1452;15820669.0039
G15;2022-4-1 04:14:30;5507593.48387;-20095240.7215;15882415.6911
G15;2022-4-1 04:15:00;5536573.68227;-20038078.0662;15943845.5103
G15;2022-4-1 04:15:30;5565720.42723;-19980738.7578;16004957.2231
G15;2022-4-1 04:16:00;5595034.04189;-19923224.3796;16065749.5977
G15;2022-4-1 04:16:30;5624514.83996;-19865536.5191;16126221.4088
G15;2022-4-1 04:17:00;5654163.12571;-19807676.7682;16186371.4377
G15;2022-4-1 04:17:30;5683979.19394;-19749646.7232;16246198.4722
G15;2022-4-1 04:18:00;5713963.32996;-19691447.9848;16305701.3068
G15;2022-4-1 04:18:30;5744115.80959;-19633082.1575;16364878.7427
G15;2022-4-1 04:19:00;5774436.89908;-19574550.8503;16423729.5876
G15;2022-4-1 04:19:30;5804926.85515;-19515855.6762;16482252.6562
G15;2022-4-1 04:20:00;5835585.92495;-19456998.2519;16540446.7695
G15;2022-4-1 04:20:30;5866414.34602;-19397980.1984;16598310.7557
G15;2022-4-1 04:21:00;5897412.34632;-19338803.1402;16655843.4496
G15;2022-4-1 04:21:30;5928580.14414;-19279468.7059;16713043.6927
G15;2022-4-1 04:22:00;5959917.94814;-19219978.5275;16769910.3335
G15;2022-4-1 04:22:30;5991425.95732;-19160334.2409;16826442.2273
G15;2022-4-1 04:23:00;6023104.36099;-19100537.4855;16882638.2364
G15;2022-4-1 04:23:30;6054953.33875;-19040589.904;16938497.2298
G15;2022-4-1 04:24:00;6086973.06048;-18980493.1428;16994018.0837
G15;2022-4-1 04:24:30;6119163.68633;-18920248.8515;17049199.681
G15;2022-4-1 04:25:00;6151525.36673;-18859858.6832;17104040.9119
G15;2022-4-1 04:25:30;6184058.24228;-18799324.2938;17158540.6733
G15;2022-4-1 04:26:00;6216762.44387;-18738647.3428;17212697.8695
G15;2022-4-1 04:26:30;6249638.09255;-18677829.4926;17266511.4116
G15;2022-4-1 04:27:00;6282685.29957;-18616872.4085;17319980.2179
G15;2022-4-1 04:27:30;6315904.16638;-18555777.7588;17373103.2138
G15;2022-4-1 04:28:00;6349294.78458;-18494547.2149;17425879.3319
G15;2022-4-1 04:28:30;6382857.23592;-18433182.4506;17478307.5118
G15;2022-4-1 04:29:00;6416591.5923;-18371685.1427;17530386.7006
G15;2022-4-1 04:29:30;6450497.91575;-18310056.9706;17582115.8524
G15;2022-4-1 04:30:00;6484576.25842;-18248299.6163;17633493.9285
G15;2022-4-1 04:30:30;6518826.66257;-18186414.7641;17684519.8977
G15;2022-4-1 04:31:00;6553249.16057;-18124404.101;17735192.7359
G15;2022-4-1 04:31:30;6587843.77486;-18062269.3162;17785511.4264
G15;2022-4-1 04:32:00;6622610.51797;-18000012.1014;17835474.9597
G15;2022-4-1 04:32:30;6657549.39251;-17937634.1503;17885082.334
G15;2022-4-1 04:33:00;6692660.39115;-17875137.1588;17934332.5544
G15;2022-4-1 04:33:30;6727943.49662;-17812522.825;17983224.6338
G15;2022-4-1 04:34:00;6763398.68169;-17749792.8488;18031757.5924
G15;2022-4-1 04:34:30;6799025.9092;-17686948.9322;18079930.4578
G15;2022-4-1 04:35:00;6834825.13199;-17623992.7791;18127742.2652
G15;2022-4-1 04:35:30;6870796.29297;-17560926.0949;18175192.0571
G15;2022-4-1 04:36:00;6906939.32506;-17497750.5871;18222278.8837
G15;2022-4-1 04:36:30;6943254.1512;-17434467.9646;18269001.8028
G15;2022-4-1 04:37:00;6979740.68435;-17371079.9379;18315359.8794
G15;2022-4-1 04:37:30;7016398.82749;-17307588.2191;18361352.1865
G15;2022-4-1 04:38:00;7053228.47361;-17243994.5215;18406977.8044
G15;2022-4-1 04:38:30;7090229.50572;-17180300.56;18452235.8212
G15;2022-4-1 04:39:00;7127401.79681;-17116508.0507;18497125.3327
G15;2022-4-1 04:39:30;7164745.20991;-17052618.7108;18541645.442
G15;2022-4-1 04:40:00;7202259.59802;-16988634.2588;18585795.2604
G15;2022-4-1 04:40:30;7239944.80417;-16924556.4142;18629573.9065
G15;2022-4-1 04:41:00;7277800.66138;-16860386.8974;18672980.5067
G15;2022-4-1 04:41:30;7315826.99269;-16796127.4298;18716014.1954
G15;2022-4-1 04:42:00;7354023.61111;-16731779.7336;18758674.1144
G15;2022-4-1 04:42:30;7392390.3197;-16667345.5317;18800959.4136
G15;2022-4-1 04:43:00;7430926.91149;-16602826.548;18842869.2504
G15;2022-4-1 04:43:30;7469633.16954;-16538224.5067;18884402.7903
G15;2022-4-1 04:44:00;7508508.86692;-16473541.1326;18925559.2064
G15;2022-4-1 04:44:30;7547553.7667;-16408778.1511;18966337.6799
G15;2022-4-1 04:45:00;7586767.622;-16343937.2878;19006737.3997
G15;2022-4-1 04:45:30;7626150.17593;-16279020.2689;19046757.5626
G15;2022-4-1 04:46:00;7665701.16165;-16214028.8207;19086397.3733
G15;2022-4-1 04:46:30;7705420.30234;-16148964.6696;19125656.0446
G15;2022-4-1 04:47:00;7745307.31124;-16083829.5423;19164532.7971
G15;2022-4-1 04:47:30;7785361.89159;-16018625.1654;19203026.8593
G15;2022-4-1 04:48:00;7825583.73674;-15953353.2655;19241137.4678
G15;2022-4-1 04:48:30;7865972.53005;-15888015.569;19278863.8672
G15;2022-4-1 04:49:00;7906527.94496;-15822613.8023;19316205.3101
G15;2022-4-1 04:49:30;7947249.64501;-15757149.6915;19353161.0569
G15;2022-4-1 04:50:00;7988137.28378;-15691624.9622;19389730.3765
G15;2022-4-1 04:50:30;8029190.50496;-15626041.3398;19425912.5455
G15;2022-4-1 04:51:00;8070408.94236;-15560400.5491;19461706.8486
G15;2022-4-1 04:51:30;8111792.21987;-15494704.3144;19497112.5788
G15;2022-4-1 04:52:00;8153339.95152;-15428954.3594;19532129.037
G15;2022-4-1 04:52:30;8195051.74145;-15363152.407;19566755.5324
G15;2022-4-1 04:53:00;8236927.18398;-15297300.1795;19600991.3821
G15;2022-4-1 04:53:30;8278965.86355;-15231399.3982;19634835.9116
G15;2022-4-1 04:54:00;8321167.35479;-15165451.7835;19668288.4544
G15;2022-4-1 04:54:30;8363531.2225;-15099459.0551;19701348.3522
G15;2022-4-1 04:55:00;8406057.02167;-15033422.9311;19734014.9551
G15;2022-4-1 04:55:30;8448744.29751;-14967345.129;19766287.6211
G15;2022-4-1 04:56:00;8491592.58543;-14901227.3649;19798165.7165
G15;2022-4-1 04:56:30;8534601.41111;-14835071.3534;19829648.6161
G15;2022-4-1 04:57:00;8577770.29045;-14768878.8081;19860735.7026
G15;2022-4-1 04:57:30;8621098.72964;-14702651.4411;19891426.3671
G15;2022-4-1 04:58:00;8664586.22513;-14636390.9628;19921720.009
G15;2022-4-1 04:58:30;8708232.26369;-14570099.0822;19951616.0359
G15;2022-4-1 04:59:00;8752036.32239;-14503777.5068;19981113.8639
G15;2022-4-1 04:59:30;8795997.86866;-14437427.942;20010212.9172
G15;2022-4-1 05:00:00;8840116.36025;-14371052.0919;20038912.6283
G15;2022-4-1 05:00:30;8884391.2453;-14304651.6584;20067212.4383
G15;2022-4-1 05:01:00;8928821.96235;-14238228.3415;20095111.7964
G15;2022-4-1 05:01:30;8973407.94032;-14171783.8395;20122610.1601
G15;2022-4-1 05:02:00;9018148.59859;-14105319.8483;20149706.9956
G15;2022-4-1 05:02:30;9063043.34696;-14038838.0618;20176401.7771
G15;2022-4-1 05:03:00;9108091.58572;-13972340.1717;20202693.9875
G15;2022-4-1 05:03:30;9153292.70565;-13905827.8674;20228583.1179
G15;2022-4-1 05:04:00;9198646.08804;-13839302.8361;20254068.6678
G15;2022-4-1 05:04:30;9244151.10471;-13772766.7622;20279150.1452
G15;2022-4-1 05:05:00;9289807.11805;-13706221.3281;20303827.0666
G15;2022-4-1 05:05:30;9335613.48102;-13639668.2133;20328098.9568
