SV;DATETIME;X;Y;Z
G17;2022-5-1 00:00:00;16614043.583;-4228059.095;-19868080.539
G17;2022-5-1 00:00:30;16584249.5977;-4155412.82138;-19907272.2601
G17;2022-5-1 00:01:00;16554524.0664;-4082573.74388;-19946068.7578
G17;2022-5-1 00:01:30;16524868.2498;-4009543.25546;-19984469.2287
G17;2022-5-1 00:02:00;16495283.4019;-3936322.7577;-20022472.8775
G17;2022-5-1 00:02:30;16465770.7698;-3862913.66077;-20060078.9167
G17;2022-5-1 00:03:00;16436331.5935;-3789317.3834;-20097286.5672
G17;2022-5-1 00:03:30;16406967.1061;-3715535.35278;-20134095.0576
G17;2022-5-1 00:04:00;16377678.5337;-3641569.00459;-20170503.6249
G17;2022-5-1 00:04:30;16348467.095;-3567419.78286;-20206511.514
G17;2022-5-1 00:05:00;16319334.002;-3493089.14;-20242117.978
G17;2022-5-1 00:05:30;16290280.459;-3418578.53668;-20277322.2781
G17;2022-5-1 00:06:00;16261307.6633;-3343889.44184;-20312123.6838
G17;2022-5-1 00:06:30;16232416.8047;-3269023.33258;-20346521.4726
G17;2022-5-1 00:07:00;16203609.0657;-3193981.69413;-20380514.9303
G17;2022-5-1 00:07:30;16174885.6214;-3118766.01981;-20414103.3509
G17;2022-5-1 00:08:00;16146247.6391;-3043377.81095;-20447286.0367
G17;2022-5-1 00:08:30;16117696.279;-2967818.57683;-20480062.2982
G17;2022-5-1 00:09:00;16089232.6933;-2892089.83464;-20512431.4541
G17;2022-5-1 00:09:30;16060858.0266;-2816193.10942;-20544392.8316
G17;2022-5-1 00:10:00;16032573.416;-2740129.934;-20575945.766
G17;2022-5-1 00:10:30;16004379.9906;-2663901.84892;-20607089.601
G17;2022-5-1 00:11:00;15976278.8718;-2587510.40239;-20637823.6887
G17;2022-5-1 00:11:30;15948271.1731;-2510957.15024;-20668147.3895
G17;2022-5-1 00:12:00;15920357.9999;-2434243.65584;-20698060.0722
G17;2022-5-1 00:12:30;15892540.45;-2357371.49004;-20727561.114
G17;2022-5-1 00:13:00;15864819.6128;-2280342.23111;-20756649.9005
G17;2022-5-1 00:13:30;15837196.5699;-2203157.46469;-20785325.8256
G17;2022-5-1 00:14:00;15809672.3945;-2125818.78372;-20813588.2919
G17;2022-5-1 00:14:30;15782248.1519;-2048327.78838;-20841436.7102
G17;2022-5-1 00:15:00;15754924.899;-1970686.086;-20868870.5
G17;2022-5-1 00:15:30;15727703.6845;-1892895.29105;-20895889.0891
G17;2022-5-1 00:16:00;15700585.5487;-1814957.02503;-20922491.9138
G17;2022-5-1 00:16:30;15673571.5236;-1736872.91642;-20948678.4191
G17;2022-5-1 00:17:00;15646662.6329;-1658644.60063;-20974448.0584
G17;2022-5-1 00:17:30;15619859.8915;-1580273.71991;-20999800.2935
G17;2022-5-1 00:18:00;15593164.3062;-1501761.92332;-21024734.5951
G17;2022-5-1 00:18:30;15566576.875;-1423110.86662;-21049250.4422
G17;2022-5-1 00:19:00;15540098.5873;-1344322.21223;-21073347.3224
G17;2022-5-1 00:19:30;15513730.4239;-1265397.62918;-21097024.7321
G17;2022-5-1 00:20:00;15487473.357;-1186338.793;-21120282.176
G17;2022-5-1 00:20:30;15461328.3499;-1107147.38571;-21143119.1677
G17;2022-5-1 00:21:00;15435296.3573;-1027825.09569;-21165535.2294
