SV;DATETIME;X;Y;Z
G17;2022-5-1 04:00:00;13547308.1733;22637371.8591;3245968.63903
G17;2022-5-1 04:00:30;13535483.5826;22632391.5794;3341443.34185
G17;2022-5-1 04:01:00;13523442.8403;22627139.5197;3436854.20887
G17;2022-5-1 04:01:30;13511184.9777;22621616.7795;3532199.42892
G17;2022-5-1 04:02:00;13498709.0342;22615824.4666;3627477.19273
G17;2022-5-1 04:02:30;13486014.0567;22609763.6964;3722685.69298
G17;2022-5-1 04:03:00;13473099.1003;22603435.5924;3817823.12428
G17;2022-5-1 04:03:30;13459963.2279;22596841.2859;3912887.68323
G17;2022-5-1 04:04:00;13446605.5106;22589981.9161;4007877.56849
G17;2022-5-1 04:04:30;13433025.0274;22582858.6297;4102790.98073
G17;2022-5-1 04:05:00;13419220.8654;22575472.5813;4197626.12275
G17;2022-5-1 04:05:30;13405192.12;22567824.9331;4292381.19945
G17;2022-5-1 04:06:00;13390937.8945;22559916.8549;4387054.4179
G17;2022-5-1 04:06:30;13376457.3006;22551749.5238;4481643.98734
G17;2022-5-1 04:07:00;13361749.4584;22543324.1247;4576148.11924
G17;2022-5-1 04:07:30;13346813.4961;22534641.8497;4670565.02733
G17;2022-5-1 04:08:00;13331648.5504;22525703.8981;4764892.92762
G17;2022-5-1 04:08:30;13316253.7662;22516511.4769;4859130.03842
G17;2022-5-1 04:09:00;13300628.297;22507065.7999;4953274.58042
G17;2022-5-1 04:09:30;13284771.3047;22497368.0883;5047324.77666
G17;2022-5-1 04:10:00;13268681.9599;22487419.5705;5141278.85261
G17;2022-5-1 04:10:30;13252359.4415;22477221.4818;5235135.03619
G17;2022-5-1 04:11:00;13235802.9371;22466775.0644;5328891.55777
G17;2022-5-1 04:11:30;13219011.6429;22456081.5677;5422546.65025
G17;2022-5-1 04:12:00;13201984.764;22445142.2478;5516098.54906
G17;2022-5-1 04:12:30;13184721.5138;22433958.3677;5609545.49221
G17;2022-5-1 04:13:00;13167221.1148;22422531.197;5702885.7203
G17;2022-5-1 04:13:30;13149482.7982;22410862.0123;5796117.47656
G17;2022-5-1 04:14:00;13131505.8039;22398952.0965;5889239.0069
G17;2022-5-1 04:14:30;13113289.3807;22386802.7393;5982248.5599
G17;2022-5-1 04:15:00;13094832.7866;22374415.2368;6075144.38689
G17;2022-5-1 04:15:30;13076135.288;22361790.8917;6167924.74195
G17;2022-5-1 04:16:00;13057196.1606;22348931.013;6260587.88193
G17;2022-5-1 04:16:30;13038014.6892;22335836.9159;6353132.06652
G17;2022-5-1 04:17:00;13018590.1674;22322509.9221;6445555.55825
G17;2022-5-1 04:17:30;12998921.898;22308951.3594;6537856.62252
G17;2022-5-1 04:18:00;12979009.1928;22295162.5617;6630033.52766
G17;2022-5-1 04:18:30;12958851.3729;22281144.8692;6722084.54491
G17;2022-5-1 04:19:00;12938447.7685;22266899.6277;6814007.9485
G17;2022-5-1 04:19:30;12917797.7188;22252428.1895;6905802.01565
G17;2022-5-1 04:20:00;12896900.5727;22237731.9123;6997465.02662
G17;2022-5-1 04:20:30;12875755.688;22222812.16;7088995.26473
G17;2022-5-1 04:21:00;12854362.4318;22207670.302;7180391.01636
G17;2022-5-1 04:21:30;12832720.1808;22192307.7136;7271650.57103
G17;2022-5-1 04:22:00;12810828.3209;22176725.7756;7362772.22143
G17;2022-5-1 04:22:30;12788686.2473;22160925.8746;7453754.26338
G17;2022-5-1 04:23:00;12766293.3647;22144909.4023;7544594.99594
G17;2022-5-1 04:23:30;12743649.0875;22128677.7564;7635292.72139
G17;2022-5-1 04:24:00;12720752.8391;22112232.3395;7725845.74529
G17;2022-5-1 04:24:30;12697604.0529;22095574.5598;7816252.37649
G17;2022-5-1 04:25:00;12674202.1715;22078705.8307;7906510.92714
G17;2022-5-1 04:25:30;12650546.6471;22061627.5707;7996619.71277
G17;2022-5-1 04:26:00;12626636.9418;22044341.2035;8086577.05228
G17;2022-5-1 04:26:30;12602472.527;22026848.1578;8176381.26799
G17;2022-5-1 04:27:00;12578052.8838;22009149.8675;8266030.68563
G17;2022-5-1 04:27:30;12553377.503;21991247.7712;8355523.63442
G17;2022-5-1 04:28:00;12528445.8853;21973143.3124;8444858.44706
G17;2022-5-1 04:28:30;12503257.5409;21954837.9395;8534033.4598
G17;2022-5-1 04:29:00;12477811.9897;21936333.1055;8623047.01241
G17;2022-5-1 04:29:30;12452108.7616;21917630.2682;8711897.44824
G17;2022-5-1 04:30:00;12426147.3961;21898730.89;8800583.11427
G17;2022-5-1 04:30:30;12399927.4427;21879636.4377;8889102.3611
G17;2022-5-1 04:31:00;12373448.4607;21860348.3826;8977453.54299
G17;2022-5-1 04:31:30;12346710.0191;21840868.2006;9065635.01789
G17;2022-5-1 04:32:00;12319711.6969;21821197.3716;9153645.14748
G17;2022-5-1 04:32:30;12292453.0832;21801337.38;9241482.29716
G17;2022-5-1 04:33:00;12264933.7767;21781289.7144;9329144.83613
G17;2022-5-1 04:33:30;12237153.3864;21761055.8674;9416631.13737
G17;2022-5-1 04:34:00;12209111.5311;21740637.3358;9503939.57769
G17;2022-5-1 04:34:30;12180807.8394;21720035.6203;9591068.53777
G17;2022-5-1 04:35:00;12152241.9503;21699252.2256;9678016.40214
G17;2022-5-1 04:35:30;12123413.5127;21678288.6603;9764781.55926
G17;2022-5-1 04:36:00;12094322.1855;21657146.4365;9851362.40151
