SV;DATETIME;X;Y;Z
G20;2022-3-1 00:00:00;-3760602.583;-22987642.753;-12988079.405
G20;2022-3-1 00:00:30;-3740789.37655;-23033307.2767;-12913425.4387
G20;2022-3-1 00:01:00;-3721122.60221;-23078732.8178;-12838527.2235
G20;2022-3-1 00:01:30;-3701601.49234;-23123918.1132;-12763386.1855
G20;2022-3-1 00:02:00;-3682225.27168;-23168861.9064;-12688003.7554
G20;2022-3-1 00:02:30;-3662993.15731;-23213562.9475;-12612381.368
G20;2022-3-1 00:03:00;-3643904.35876;-23258019.9937;-12536520.4627
G20;2022-3-1 00:03:30;-3624958.07804;-23302231.8087;-12460422.4832
G20;2022-3-1 00:04:00;-3606153.50967;-23346197.1632;-12384088.8776
G20;2022-3-1 00:04:30;-3587489.84075;-23389914.8347;-12307521.098
G20;2022-3-1 00:05:00;-3568966.251;-23433383.608;-12230720.601
G20;2022-3-1 00:05:30;-3550581.91281;-23476602.2747;-12153688.8474
G20;2022-3-1 00:06:00;-3532335.99128;-23519569.6335;-12076427.3023
G20;2022-3-1 00:06:30;-3514227.64427;-23562284.4905;-11998937.4347
G20;2022-3-1 00:07:00;-3496256.02243;-23604745.6588;-11921220.718
G20;2022-3-1 00:07:30;-3478420.26928;-23646951.9588;-11843278.6296
G20;2022-3-1 00:08:00;-3460719.52122;-23688902.2183;-11765112.6512
G20;2022-3-1 00:08:30;-3443152.90761;-23730595.2723;-11686724.2684
G20;2022-3-1 00:09:00;-3425719.55078;-23772029.9634;-11608114.9707
G20;2022-3-1 00:09:30;-3408418.56609;-23813205.1415;-11529286.2521
G20;2022-3-1 00:10:00;-3391249.062;-23854119.664;-11450239.61
G20;2022-3-1 00:10:30;-3374210.14008;-23894772.396;-11370976.5462
G20;2022-3-1 00:11:00;-3357300.89507;-23935162.21;-11291498.5663
G20;2022-3-1 00:11:30;-3340520.41494;-23975287.9862;-11211807.1797
G20;2022-3-1 00:12:00;-3323867.78092;-24015148.6126;-11131903.8998
G20;2022-3-1 00:12:30;-3307342.06754;-24054742.9847;-11051790.2439
G20;2022-3-1 00:13:00;-3290942.34271;-24094070.0059;-10971467.733
G20;2022-3-1 00:13:30;-3274667.66772;-24133128.5873;-10890937.8918
G20;2022-3-1 00:14:00;-3258517.09734;-24171917.6481;-10810202.2491
G20;2022-3-1 00:14:30;-3242489.67983;-24210436.115;-10729262.3372
G20;2022-3-1 00:15:00;-3226584.457;-24248682.923;-10648119.692
G20;2022-3-1 00:15:30;-3210800.46426;-24286657.0148;-10566775.8534
G20;2022-3-1 00:16:00;-3195136.73066;-24324357.3412;-10485232.3646
G20;2022-3-1 00:16:30;-3179592.27897;-24361782.8612;-10403490.7728
G20;2022-3-1 00:17:00;-3164166.12568;-24398932.5416;-10321552.6284
G20;2022-3-1 00:17:30;-3148857.28109;-24435805.3576;-10239419.4858
G20;2022-3-1 00:18:00;-3133664.74934;-24472400.2924;-10157092.9025
G20;2022-3-1 00:18:30;-3118587.52846;-24508716.3376;-10074574.4397
G20;2022-3-1 00:19:00;-3103624.61045;-24544752.4928;-9991865.66222
G20;2022-3-1 00:19:30;-3088774.98129;-24580507.7662;-9908968.13813
G20;2022-3-1 00:20:00;-3074037.621;-24615981.174;-9825883.439
G20;2022-3-1 00:20:30;-3059411.50372;-24651171.7411;-9742613.13979
G20;2022-3-1 00:21:00;-3044895.59772;-24686078.5005;-9659158.81883
G20;2022-3-1 00:21:30;-3030488.86549;-24720700.4939;-9575522.05776
G20;2022-3-1 00:22:00;-3016190.26377;-24755036.7714;-9491704.44156
G20;2022-3-1 00:22:30;-3001998.74365;-24789086.3917;-9407707.5585
G20;2022-3-1 00:23:00;-2987913.25045;-24822848.4217;-9323533.00001
G20;2022-3-1 00:23:30;-2973932.72403;-24856321.9373;-9239182.36084
G20;2022-3-1 00:24:00;-2960056.09869;-24889506.0228;-9154657.23888
