SV;DATETIME;X;Y;Z
G20;2022-3-1 04:00:00;8340656.94844;-13534538.8669;21299546.1987
G20;2022-3-1 04:00:30;8399418.29082;-13478347.9855;21311347.677
G20;2022-3-1 04:01:00;8458305.07979;-13422221.4939;21322741.9474
G20;2022-3-1 04:01:30;8517316.17682;-13366160.7253;21333728.765
G20;2022-3-1 04:02:00;8576450.43562;-13310167.0068;21344307.8929
G20;2022-3-1 04:02:30;8635706.70221;-13254241.6597;21354479.1019
G20;2022-3-1 04:03:00;8695083.81491;-13198385.9995;21364242.1705
G20;2022-3-1 04:03:30;8754580.60441;-13142601.3357;21373596.8849
G20;2022-3-1 04:04:00;8814195.89382;-13086888.9717;21382543.0392
G20;2022-3-1 04:04:30;8873928.4987;-13031250.2049;21391080.4352
G20;2022-3-1 04:05:00;8933777.22711;-12975686.3265;21399208.8824
G20;2022-3-1 04:05:30;8993740.87965;-12920198.6216;21406928.1983
G20;2022-3-1 04:06:00;9053818.24949;-12864788.3691;21414238.2078
G20;2022-3-1 04:06:30;9114008.12246;-12809456.8415;21421138.7441
G20;2022-3-1 04:07:00;9174309.27703;-12754205.305;21427629.6478
G20;2022-3-1 04:07:30;9234720.48441;-12699035.0197;21433710.7674
G20;2022-3-1 04:08:00;9295240.50856;-12643947.2388;21439381.9592
G20;2022-3-1 04:08:30;9355868.10628;-12588943.2095;21444643.0875
G20;2022-3-1 04:09:00;9416602.02717;-12534024.1721;21449494.0241
G20;2022-3-1 04:09:30;9477441.01379;-12479191.3605;21453934.6489
G20;2022-3-1 04:10:00;9538383.80161;-12424446.0021;21457964.8494
G20;2022-3-1 04:10:30;9599429.1191;-12369789.3173;21461584.5211
G20;2022-3-1 04:11:00;9660575.6878;-12315222.52;21464793.5672
G20;2022-3-1 04:11:30;9721822.2223;-12260746.8175;21467591.8988
G20;2022-3-1 04:12:00;9783167.43035;-12206363.4098;21469979.4349
G20;2022-3-1 04:12:30;9844610.01289;-12152073.4906;21471956.1023
G20;2022-3-1 04:13:00;9906148.66409;-12097878.2464;21473521.8355
G20;2022-3-1 04:13:30;9967782.07139;-12043778.8566;21474676.5771
G20;2022-3-1 04:14:00;10029508.9156;-11989776.4939;21475420.2775
G20;2022-3-1 04:14:30;10091327.8708;-11935872.3239;21475752.8947
