SV;DATETIME;X;Y;Z
G23;2022-7-1 00:00:00;2104205.104;-15561973.763;21394199.711
G23;2022-7-1 00:00:30;2183955.937;-15578885.7695;21373582.3946
G23;2022-7-1 00:01:00;2263601.04312;-15595922.0917;21352554.8619
G23;2022-7-1 00:01:30;2343138.73202;-15613082.0088;21331117.5054
G23;2022-7-1 00:02:00;2422567.31795;-15630364.791;21309270.7253
G23;2022-7-1 00:02:30;2501885.11974;-15647769.6994;21287014.9296
G23;2022-7-1 00:03:00;2581090.46095;-15665295.9862;21264350.5341
G23;2022-7-1 00:03:30;2660181.66993;-15682942.8944;21241277.9626
G23;2022-7-1 00:04:00;2739157.07985;-15700709.6581;21217797.6464
G23;2022-7-1 00:04:30;2818015.02884;-15718595.5026;21193910.0248
G23;2022-7-1 00:05:00;2896753.86;-15736599.644;21169615.545
G23;2022-7-1 00:05:30;2975371.92151;-15754721.2897;21144914.6619
G23;2022-7-1 00:06:00;3053867.56668;-15772959.638;21119807.8383
G23;2022-7-1 00:06:30;3132239.15401;-15791313.8784;21094295.5447
G23;2022-7-1 00:07:00;3210485.04729;-15809783.1917;21068378.2596
G23;2022-7-1 00:07:30;3288603.61562;-15828366.7498;21042056.4692
G23;2022-7-1 00:08:00;3366593.2335;-15847063.7156;21015330.6675
G23;2022-7-1 00:08:30;3444452.28089;-15865873.2437;20988201.3564
G23;2022-7-1 00:09:00;3522179.14329;-15884794.4795;20960669.0455
G23;2022-7-1 00:09:30;3599772.21175;-15903826.5602;20932734.2523
G23;2022-7-1 00:10:00;3677229.883;-15922968.614;20904397.502
G23;2022-7-1 00:10:30;3754550.55946;-15942219.7607;20875659.3275
G23;2022-7-1 00:11:00;3831732.64931;-15961579.1115;20846520.2696
G23;2022-7-1 00:11:30;3908774.56659;-15981045.769;20816980.8768
G23;2022-7-1 00:12:00;3985674.7312;-16000618.8274;20787041.7053
G23;2022-7-1 00:12:30;4062431.569;-16020297.3724;20756703.319
G23;2022-7-1 00:13:00;4139043.51186;-16040080.4814;20725966.2898
G23;2022-7-1 00:13:30;4215508.99773;-16059967.2234;20694831.1969
G23;2022-7-1 00:14:00;4291826.47067;-16079956.6589;20663298.6275
G23;2022-7-1 00:14:30;4367994.38092;-16100047.8404;20631369.1764
G23;2022-7-1 00:15:00;4444011.185;-16120239.812;20599043.446
G23;2022-7-1 00:15:30;4519875.3457;-16140531.6096;20566322.0465
G23;2022-7-1 00:16:00;4595585.33218;-16160922.2611;20533205.5956
G23;2022-7-1 00:16:30;4671139.62003;-16181410.786;20499694.7188
G23;2022-7-1 00:17:00;4746536.69131;-16201996.196;20465790.0491
G23;2022-7-1 00:17:30;4821775.03461;-16222677.4946;20431492.2272
G23;2022-7-1 00:18:00;4896853.14513;-16243453.6774;20396801.9015
G23;2022-7-1 00:18:30;4971769.52469;-16264323.7322;20361719.7277
G23;2022-7-1 00:19:00;5046522.68185;-16285286.6386;20326246.3694
G23;2022-7-1 00:19:30;5121111.13191;-16306341.3685;20290382.4977
G23;2022-7-1 00:20:00;5195533.397;-16327486.886;20254128.791
G23;2022-7-1 00:20:30;5269788.00611;-16348722.1475;20217485.9356
G23;2022-7-1 00:21:00;5343873.49519;-16370046.1015;20180454.6252
G23;2022-7-1 00:21:30;5417788.40714;-16391457.6891;20143035.5609
G23;2022-7-1 00:22:00;5491531.29193;-16412955.8435;20105229.4516
G23;2022-7-1 00:22:30;5565100.70667;-16434539.4902;20067037.0134
G23;2022-7-1 00:23:00;5638495.21545;-16456207.5479;20028458.97
G23;2022-7-1 00:23:30;5711713.38973;-16477958.927;19989496.0526
G23;2022-7-1 00:24:00;5784753.8082;-16499792.5309;19950148.9998
G23;2022-7-1 00:24:30;5857615.05684;-16521707.2554;19910418.5578
G23;2022-7-1 00:25:00;5930295.729;-16543701.989;19870305.48
G23;2022-7-1 00:25:30;6002794.42546;-16565775.613;19829810.5274
G23;2022-7-1 00:26:00;6075109.75445;-16587927.0014;19788934.4684
G23;2022-7-1 00:26:30;6147240.33176;-16610155.0209;19747678.0786
G23;2022-7-1 00:27:00;6219184.78072;-16632458.5312;19706042.1413
