SV;DATETIME;X;Y;Z
G23;2022-7-1 00:00:00;2104208.12463;-15561973.0128;21394198.3547
G23;2022-7-1 00:00:30;2183958.95409;-15578885.0225;21373581.0248
G23;2022-7-1 00:01:00;2263604.05773;-15595921.346;21352553.4806
G23;2022-7-1 00:01:30;2343141.74485;-15613081.2631;21331116.1138
G23;2022-7-1 00:02:00;2422570.32938;-15630364.0444;21309269.3244
G23;2022-7-1 00:02:30;2501888.12995;-15647768.9515;21287013.5199
G23;2022-7-1 00:03:00;2581093.46997;-15665295.2367;21264349.1159
G23;2022-7-1 00:03:30;2660184.67764;-15682942.1433;21241276.536
G23;2022-7-1 00:04:00;2739160.08609;-15700708.9055;21217796.2115
G23;2022-7-1 00:04:30;2818018.03339;-15718594.7486;21193908.5815
G23;2022-7-1 00:05:00;2896756.86261;-15736598.8888;21169614.0932
G23;2022-7-1 00:05:30;2975374.92193;-15754720.5335;21144913.2014
G23;2022-7-1 00:06:00;3053870.56466;-15772958.8809;21119806.369
G23;2022-7-1 00:06:30;3132242.14933;-15791313.1207;21094294.0665
G23;2022-7-1 00:07:00;3210488.03972;-15809782.4335;21068376.7724
G23;2022-7-1 00:07:30;3288606.60497;-15828365.991;21042054.9729
G23;2022-7-1 00:08:00;3366596.2196;-15847062.9564;21015329.1621
G23;2022-7-1 00:08:30;3444455.26358;-15865872.484;20988199.8419
G23;2022-7-1 00:09:00;3522182.12243;-15884793.7195;20960667.522
G23;2022-7-1 00:09:30;3599775.18722;-15903825.7997;20932732.7197
G23;2022-7-1 00:10:00;3677232.85469;-15922967.853;20904395.9603
G23;2022-7-1 00:10:30;3754553.52727;-15942218.9991;20875657.7768
G23;2022-7-1 00:11:00;3831735.61315;-15961578.3492;20846518.71
G23;2022-7-1 00:11:30;3908777.52636;-15981045.006;20816979.3084
G23;2022-7-1 00:12:00;3985677.68682;-16000618.0636;20787040.1282
G23;2022-7-1 00:12:30;4062434.52039;-16020296.6078;20756701.7334
G23;2022-7-1 00:13:00;4139046.45893;-16040079.7159;20725964.6956
G23;2022-7-1 00:13:30;4215511.94038;-16059966.4569;20694829.5943
G23;2022-7-1 00:14:00;4291829.4088;-16079955.8914;20663297.0165
G23;2022-7-1 00:14:30;4367997.31444;-16100047.0719;20631367.5571
G23;2022-7-1 00:15:00;4444014.11378;-16120239.0424;20599041.8185
G23;2022-7-1 00:15:30;4519878.26964;-16140530.839;20566320.4108
G23;2022-7-1 00:16:00;4595588.25116;-16160921.4893;20533203.9518
G23;2022-7-1 00:16:30;4671142.53393;-16181410.0131;20499693.067
