SV;DATETIME;X;Y;Z
G32;2022-6-1 00:00:00;-15046252.274;-13396151.963;-17255649.858
G32;2022-6-1 00:00:30;-15054271.9176;-13462165.1281;-17198236.4154
G32;2022-6-1 00:01:00;-15062362.6174;-13527948.7579;-17140492.3921
G32;2022-6-1 00:01:30;-15070523.2717;-13593501.6146;-17082418.9231
G32;2022-6-1 00:02:00;-15078752.7722;-13658822.4685;-17024017.1495
G32;2022-6-1 00:02:30;-15087050.0045;-13723910.0984;-16965288.2184
G32;2022-6-1 00:03:00;-15095413.8477;-13788763.2915;-16906233.2835
G32;2022-6-1 00:03:30;-15103843.175;-13853380.8436;-16846853.5042
G32;2022-6-1 00:04:00;-15112336.8533;-13917761.5587;-16787150.0462
G32;2022-6-1 00:04:30;-15120893.7434;-13981904.2497;-16727124.0812
G32;2022-6-1 00:05:00;-15129512.7;-14045807.738;-16666776.787
G32;2022-6-1 00:05:30;-15138192.572;-14109470.8537;-16606109.3474
G32;2022-6-1 00:06:00;-15146932.2024;-14172892.4355;-16545122.9522
G32;2022-6-1 00:06:30;-15155730.4279;-14236071.331;-16483818.797
G32;2022-6-1 00:07:00;-15164586.0799;-14299006.3966;-16422198.0836
G32;2022-6-1 00:07:30;-15173497.9837;-14361696.4973;-16360262.0196
G32;2022-6-1 00:08:00;-15182464.9591;-14424140.5073;-16298011.8184
G32;2022-6-1 00:08:30;-15191485.8199;-14486337.3096;-16235448.6994
G32;2022-6-1 00:09:00;-15200559.3747;-14548285.796;-16172573.8877
G32;2022-6-1 00:09:30;-15209684.4263;-14609984.8675;-16109388.6143
G32;2022-6-1 00:10:00;-15218859.772;-14671433.434;-16045894.116
G32;2022-6-1 00:10:30;-15228084.2038;-14732630.4146;-15982091.6353
G32;2022-6-1 00:11:00;-15237356.5083;-14793574.7376;-15917982.4203
G32;2022-6-1 00:11:30;-15246675.4667;-14854265.34;-15853567.7252
G32;2022-6-1 00:12:00;-15256039.8549;-14914701.1686;-15788848.8095
G32;2022-6-1 00:12:30;-15265448.4437;-14974881.1789;-15723826.9385
G32;2022-6-1 00:13:00;-15274899.9988;-15034804.3361;-15658503.3832
G32;2022-6-1 00:13:30;-15284393.2805;-15094469.6142;-15592879.42
G32;2022-6-1 00:14:00;-15293927.0444;-15153875.9971;-15526956.331
G32;2022-6-1 00:14:30;-15303500.0411;-15213022.4775;-15460735.404
G32;2022-6-1 00:15:00;-15313111.016;-15271908.058;-15394217.932
G32;2022-6-1 00:15:30;-15322758.71;-15330531.7503;-15327405.2138
G32;2022-6-1 00:16:00;-15332441.8589;-15388892.5757;-15260298.5535
G32;2022-6-1 00:16:30;-15342159.1939;-15446989.5649;-15192899.2606
G32;2022-6-1 00:17:00;-15351909.4417;-15504821.7584;-15125208.6503
G32;2022-6-1 00:17:30;-15361691.324;-15562388.2059;-15057228.0428
G32;2022-6-1 00:18:00;-15371503.5582;-15619687.967;-14988958.7639
G32;2022-6-1 00:18:30;-15381344.8572;-15676720.1107;-14920402.1447
G32;2022-6-1 00:19:00;-15391213.9294;-15733483.7158;-14851559.5217
G32;2022-6-1 00:19:30;-15401109.4787;-15789977.8709;-14782432.2365
G32;2022-6-1 00:20:00;-15411030.205;-15846201.674;-14713021.636
G32;2022-6-1 00:20:30;-15420974.8036;-15902154.2331;-14643329.0724
G32;2022-6-1 00:21:00;-15430941.9659;-15957834.666;-14573355.9031
G32;2022-6-1 00:21:30;-15440930.3789;-16013242.1002;-14503103.4905
G32;2022-6-1 00:22:00;-15450938.7257;-16068375.6731;-14432573.2024
G32;2022-6-1 00:22:30;-15460965.6854;-16123234.5319;-14361766.4115
G32;2022-6-1 00:23:00;-15471009.9331;-16177817.8338;-14290684.4958
G32;2022-6-1 00:23:30;-15481070.14;-16232124.7458;-14219328.8381
G32;2022-6-1 00:24:00;-15491144.9734;-16286154.445;-14147700.8264
G32;2022-6-1 00:24:30;-15501233.0971;-16339906.1184;-14075801.8538
G32;2022-6-1 00:25:00;-15511333.171;-16393378.963;-14003633.318
G32;2022-6-1 00:25:30;-15521443.8513;-16446572.1859;-13931196.622
G32;2022-6-1 00:26:00;-15531563.7909;-16499485.0041;-13858493.1737
G32;2022-6-1 00:26:30;-15541691.6388;-16552116.6449;-13785524.3856
G32;2022-6-1 00:27:00;-15551826.041;-16604466.3456;-13712291.6754
G32;2022-6-1 00:27:30;-15561965.6397;-16656533.3535;-13638796.4654
G32;2022-6-1 00:28:00;-15572109.0741;-16708316.9263;-13565040.1829
G32;2022-6-1 00:28:30;-15582254.9799;-16759816.3318;-13491024.2597
G32;2022-6-1 00:29:00;-15592401.9899;-16811030.8479;-13416750.1326
G32;2022-6-1 00:29:30;-15602548.7334;-16861959.7629;-13342219.243
G32;2022-6-1 00:30:00;-15612693.837;-16912602.375;-13267433.037
