SV;DATETIME;X;Y;Z
G32;2022-6-1 04:00:00;-5487810.41414;-16740647.4375;20077773.8105
G32;2022-6-1 04:00:30;-5415289.35219;-16719595.8978;20114689.6872
G32;2022-6-1 04:01:00;-5342600.35989;-16698627.3598;20151226.9138
G32;2022-6-1 04:01:30;-5269744.82051;-16677742.8425;20187384.7938
G32;2022-6-1 04:02:00;-5196724.12411;-16656943.357;20223162.6374
G32;2022-6-1 04:02:30;-5123539.66752;-16636229.9076;20258559.7621
G32;2022-6-1 04:03:00;-5050192.85427;-16615603.4907;20293575.4922
G32;2022-6-1 04:03:30;-4976685.09455;-16595065.0954;20328209.1592
G32;2022-6-1 04:04:00;-4903017.80518;-16574615.7035;20362460.1014
G32;2022-6-1 04:04:30;-4829192.4095;-16554256.2891;20396327.6643
G32;2022-6-1 04:05:00;-4755210.33739;-16533987.8185;20429811.2005
G32;2022-6-1 04:05:30;-4681073.02515;-16513811.2507;20462910.0696
G32;2022-6-1 04:06:00;-4606781.91551;-16493727.537;20495623.6383
G32;2022-6-1 04:06:30;-4532338.45754;-16473737.6207;20527951.2803
G32;2022-6-1 04:07:00;-4457744.10659;-16453842.4376;20559892.3767
G32;2022-6-1 04:07:30;-4383000.32429;-16434042.9157;20591446.3153
G32;2022-6-1 04:08:00;-4308108.57842;-16414339.9751;20622612.4915
G32;2022-6-1 04:08:30;-4233070.34292;-16394734.528;20653390.3074
G32;2022-6-1 04:09:00;-4157887.09782;-16375227.4789;20683779.1725
G32;2022-6-1 04:09:30;-4082560.32916;-16355819.7239;20713778.5035
G32;2022-6-1 04:10:00;-4007091.52897;-16336512.1516;20743387.7241
G32;2022-6-1 04:10:30;-3931482.19521;-16317305.6424;20772606.2654
G32;2022-6-1 04:11:00;-3855733.83167;-16298201.0684;20801433.5654
G32;2022-6-1 04:11:30;-3779847.94799;-16279199.294;20829869.0698
G32;2022-6-1 04:12:00;-3703826.05956;-16260301.1753;20857912.2309
G32;2022-6-1 04:12:30;-3627669.68746;-16241507.56;20885562.5088
G32;2022-6-1 04:13:00;-3551380.35841;-16222819.2878;20912819.3704
G32;2022-6-1 04:13:30;-3474959.60475;-16204237.1903;20939682.2902
